chest	members	bonus	extraId	extraDesc
10212	10212,10268,10563,10734,10661	P. Atk. +4.7%, Accuracy +4, Stun resistance +59%, STR +2, CON -2.		
362	362,10564,610,560	Atk. Spd. +6.8%, Weight limit +4895, Poison resistance +68%, STR +2, CON -2.		
10213	10213,509,10733,10662	Atk. Spd. +8%, Weight limit +5759, Poison resistance +80%, STR +2, CON -2.		
10214	10214,10565,10734,10663	Atk. Spd. +9.4%, Weight limit +6796, Poison resistance +94%, STR +2, CON -2.		
363	363,10566,610,10664	P. Def. +6.8%, Max HP +378.		
10215	10215,510,10733,561	P. Def. +8%, Max HP +445.		
10216	10216,10567,10734,10665	P. Def. +9.4%, Max HP +525.		
364	364,387,511,610,562	Max CP +197, CP regeneration +34%.		
10217	10217,10269,10570,10733,10666	Max CP +232, CP regeneration +40%.		
10218	10218,10270,10571,10734,10667	Max CP +274, CP regeneration +47.2%.		
365	365,388,512,5765,5777	HP recovery +4%, Paralysis resistance +50%, STR -2, CON +2.	641	rShld +18%.
10219	10219,10271,10572,11068,11080	HP recovery +4.7%, Paralysis resistance +59%, STR -2, CON +2.	641	rShld +18%.
366	366,513,2485,564	HP recovery +3.4%, Paralysis resistance +42%, STR -2, CON +2.		
10220	10220,10573,11012,10668	HP recovery +4%, Paralysis resistance +50%, STR -2, CON +2.		
10221	10221,10574,11013,10669	HP recovery +4.7%, Paralysis resistance +59%, STR -2, CON +2.		
367	367,514,610,565	P. Def. +4.4%, Max HP +250.		
10222	10222,10575,10733,10670	P. Def. +5.2%, Max HP +294.		
10223	10223,10576,10734,10671	P. Def. +6.2%, Max HP +347.		
368	368,10577,610,566	Max HP +272, Breath +170, STR -3, CON +3.		
10224	10224,515,10733,10672	Max HP +320, Breath +200, STR -3, CON +3.		
10225	10225,10578,10734,10673	Max HP +378, Breath +236, STR -3, CON +3.		
369	369,10579,610,567	Speed +6, HP regeneration +4.5%, STR +3, CON -1, DEX -2.		
10226	10226,516,10733,10674	Speed +7, HP regeneration +5.3%, STR +3, CON -1, DEX -2.		
10227	10227,10580,10734,10675	Speed +8, HP regeneration +6.2%, STR +3, CON -1, DEX -2.		
370	370,10854,10985,10896	P. Atk. +3.4%, Accuracy +3, Stun resistance +42%, STR +2, CON -2.		
10228	10228,10855,10986,10897	P. Atk. +4%, Accuracy +3, Stun resistance +50%, STR +2, CON -2.		
10229	10229,10856,10987,10898	P. Atk. +4.7%, Accuracy +4, Stun resistance +59%, STR +2, CON -2.		
371	371,10584,10985,569	Atk. Spd. +6.8%, Weight limit +4895, Poison resistance +68%, STR +2, CON -2.		
10230	10230,518,10986,10676	Atk. Spd. +8%, Weight limit +5759, Poison resistance +80%, STR +2, CON -2.		
10231	10231,10585,10987,10677	Atk. Spd. +9.4%, Weight limit +6796, Poison resistance +94%, STR +2, CON -2.		
372	372,519,10985,570	P. Def. +6.8%, Max HP +378.		
10232	10232,10586,10986,10678	P. Def. +8%, Max HP +445.		
10233	10233,10587,10987,10679	P. Def. +9.4%, Max HP +525.		
373	373,10588,610,571	Max CP +197, CP regeneration +34%.		
10234	10234,520,10733,10680	Max CP +232, CP regeneration +40%.		
10235	10235,10589,10734,10681	Max CP +274, CP regeneration +47.2%.		
374	374,2418,5771,5783	P. Atk. +4%, Sleep resistance +70%, Root resistance +70%, CON +2, DEX -2.	2498	reflectDam +5.
10236	10236,10869,11074,11086	P. Atk. +4.7%, Sleep resistance +83%, Root resistance +83%, CON +2, DEX -2.	2498	reflectDam +5.
375	375,389,504,2476,10931	HP recovery +4.7%, Paralysis resistance +59%, STR -2, CON +2.		
390	390,412,42,49,36	M. Def. +1.8%, Weight limit +2028.		
10272	10272,10333,10095,10129,10070	M. Def. +2.6%, Weight limit +2898.		
10273	10273,10334,10096,10130,10071	M. Def. +3.6%, Weight limit +3941.		
10274	10274,10335,10097,10131,10072	M. Def. +4.5%, Weight limit +4926.		
10275	10275,10336,10098,10132,10073	M. Def. +5.2%, Weight limit +5795.		
10276	10276,10337,10099,10133,10074	M. Def. +6.2%, Weight limit +6838.		
391	391,413,10095,2448,2424	MP regeneration +4%, Max MP +111, MEN +2, WIT -2.		
10277	10277,10338,10096,10940,10879	MP regeneration +5.4%, Max MP +151, MEN +2, WIT -2.		
10278	10278,10339,10097,10941,10880	MP regeneration +6.8%, Max MP +189, MEN +2, WIT -2.		
10279	10279,10340,10098,10942,10881	MP regeneration +8%, Max MP +222, MEN +2, WIT -2.		
10280	10280,10341,10099,10943,10882	MP regeneration +9.4%, Max MP +262, MEN +2, WIT -2.		
392	392,414,10095,2448,2424	Max CP +98, CP regeneration +20%.		
10281	10281,10342,10096,10940,10879	Max CP +133, CP regeneration +27.2%.		
10282	10282,10343,10097,10941,10880	Max CP +166, CP regeneration +34%.		
10283	10283,10344,10098,10942,10881	Max CP +195, CP regeneration +40%.		
10284	10284,10345,10099,10943,10882	Max CP +230, CP regeneration +47.2%.		
393	393,415,10552,61,10154	M. Def. +2%, HP drain +2, DEX +1, CON -1.		
10285	10285,10346,499,10150,62	M. Def. +2.7%, HP drain +2, DEX +1, CON -1.		
10286	10286,10347,10553,10151,10155	M. Def. +3.4%, HP drain +3, DEX +1, CON -1.		
10287	10287,10348,10554,10152,10156	M. Def. +4%, HP drain +3, DEX +1, CON -1.		
10288	10288,10349,10555,10153,10157	M. Def. +4.7%, HP drain +4, DEX +1, CON -1.		
394	394,416,10095,2446,2422	Max MP +80.		
10289	10289,10350,10096,10932,10871	Max MP +109.		
10290	10290,10351,10097,10933,10872	Max MP +136.		
10291	10291,10352,10098,10934,10873	Max MP +160.		
10292	10292,10353,10099,10935,10874	Max MP +189.		
395	395,417,10095,2448,2424	Max MP +92.		
10293	10293,10354,10096,10940,10879	Max MP +125.		
10294	10294,10355,10097,10941,10880	Max MP +156.		
10295	10295,10356,10098,10942,10881	Max MP +184.		
10296	10296,10357,10099,10943,10882	Max MP +217.		
396	396,10095,2448,2427	Evasion +2.		
10297	10297,10096,10940,10891	Evasion +3.		
10298	10298,10097,10941,10892	Evasion +3.		
10299	10299,10098,10942,10893	Evasion +4.		
10300	10300,10099,10943,10894	Evasion +5.		
397	397,2387,499,10150,62	Evasion +4.		
10301	10301,10807,10553,10151,10155	Evasion +5.		
10302	10302,10808,10554,10152,10156	Evasion +6.		
10303	10303,10809,10555,10153,10157	Evasion +7.		
398	398,418,10096,2455,2431	STR +4, CON -1.		
10304	10304,10358,10097,10962,10905	STR +4, CON -1.		
10305	10305,10359,10098,10963,10906	STR +4, CON -1.		
10306	10306,10360,10099,10964,10907	STR +4, CON -1.		
399	399,419,10096,2458,2434	P. Def. +3.6%, Casting Spd. +10.2%.		
10307	10307,10361,10097,10972,10915	P. Def. +4.4%, Casting Spd. +12.7%.		
10308	10308,10362,10098,10973,10916	P. Def. +5.2%, Casting Spd. +15%.		
10309	10309,10363,10099,10974,10917	P. Def. +6.2%, Casting Spd. +17.7%.		
400	400,420,10096,2460,2436	P. Def. +5.2%.		
10310	10310,10364,10097,10978,10921	P. Def. +6.5%.		
10311	10311,10365,10098,10979,10922	P. Def. +7.7%.		
10312	10312,10366,10099,10980,10923	P. Def. +9.1%.		
401	401,10096,2461,2437	M. Def. +5.2%.		
10313	10313,10097,10981,10924	M. Def. +6.5%.		
10314	10314,10098,10982,10925	M. Def. +7.7%.		
10315	10315,10099,10983,10926	M. Def. +9.1%.		
402	402,521,2465,572	Atk. Spd. +3.4%, P. Atk. +3.4%, STR +1, CON -1.		
10316	10316,10590,10991,10682	Atk. Spd. +4%, P. Atk. +4%, STR +1, CON -1.		
10317	10317,10591,10992,10683	Atk. Spd. +4.7%, P. Atk. +4.7%, STR +1, CON -1.		
403	403,522,11008,10684	P. Atk. +6.8%, Max MP +204, Weight limit +4895.		
10318	10318,10592,2483,573	P. Atk. +8%, Max MP +240, Weight limit +5759.		
10319	10319,10593,11009,10685	P. Atk. +9.4%, Max MP +283, Weight limit +6796.		
404	404,421,523,2466,574	M. Def. +4.5%, Weight limit +4926.		
10320	10320,10367,10594,10993,10686	M. Def. +5.2%, Weight limit +5795.		
10321	10321,10368,10595,10994,10687	M. Def. +6.2%, Weight limit +6838.		
405	405,422,524,10997,10688	MP regeneration +6.8%, Max MP +189, MEN +2, WIT -2.		
10322	10322,10369,10596,2469,575	MP regeneration +8%, Max MP +222, MEN +2, WIT -2.		
10323	10323,10370,10597,10998,10689	MP regeneration +9.4%, Max MP +262, MEN +2, WIT -2.		
406	406,525,2466,576	Max CP +166, CP regeneration +34%.		
10324	10324,10598,10993,10690	Max CP +195, CP regeneration +40%.		
10325	10325,10599,10994,10691	Max CP +230, CP regeneration +47.2%.		
407	407,526,2466,577	M. Def. +3.4%, HP drain +3, DEX +1, CON -1.		
10326	10326,10600,10993,10692	M. Def. +4%, HP drain +3, DEX +1, CON -1.		
10327	10327,10601,10994,10693	M. Def. +4.7%, HP drain +4, DEX +1, CON -1.		
408	408,423,527,2466,578	Evasion +3.		
10328	10328,10371,10602,10993,10694	Evasion +4.		
10329	10329,10372,10603,10994,10695	Evasion +5.		
409	409,424,528,2466,579	P. Def. +4.4%, Casting Spd. +12.7%.		
10330	10330,10373,10604,10993,10696	P. Def. +5.2%, Casting Spd. +15%.		
10331	10331,10374,10605,10994,10697	P. Def. +6.2%, Casting Spd. +17.7%.		
410	410,2419,5775,5787	Atk. Spd. +4%, P. Atk. +4%, STR +1, CON -1.		
10332	10332,10870,11078,11090	Atk. Spd. +4.7%, P. Atk. +4.7%, STR +1, CON -1.		
411	411,2420,2477,2443	P. Atk. +9.4%, Max MP +283, Weight limit +6796.		
425	425,461,41,48,1121	M. Atk. +3.5%, MP regeneration -1.7%.		
10375	10375,10483,10090,10124,10760	M. Atk. +5%, MP regeneration -2.5%.		
10376	10376,10484,10091,10125,10761	M. Atk. +6.8%, MP regeneration -3.4%.		
10377	10377,10485,10092,10126,10762	M. Atk. +8.5%, MP regeneration -4.2%.		
10378	10378,10486,10093,10127,10763	M. Atk. +10%, MP regeneration -5%.		
10379	10379,10487,10094,10128,10764	M. Atk. +11.8%, MP regeneration -5.9%.		
426	426,462,41,48,35	Casting Spd. +5.2%, M. Def. +2.8%.		
10380	10380,10488,10090,10124,10065	Casting Spd. +7.5%, M. Def. +4%.		
10381	10381,10489,10091,10125,10066	Casting Spd. +10.2%, M. Def. +5.4%.		
10382	10382,10490,10092,10126,10067	Casting Spd. +12.7%, M. Def. +6.8%.		
10383	10383,10491,10093,10127,10068	Casting Spd. +15%, M. Def. +8%.		
10384	10384,10492,10094,10128,10069	Casting Spd. +17.7%, M. Def. +9.4%.		
427	427,41,48,1122	Max MP +72, MP regeneration +1.8%, WIT +3, INT -2.		
10385	10385,10090,10124,10765	Max MP +103, MP regeneration +2.6%, WIT +3, INT -2.		
10386	10386,10091,10125,10766	Max MP +140, MP regeneration +3.6%, WIT +3, INT -2.		
10387	10387,10092,10126,10767	Max MP +175, MP regeneration +4.5%, WIT +3, INT -2.		
10388	10388,10093,10127,10768	Max MP +206, MP regeneration +5.3%, WIT +3, INT -2.		
10389	10389,10094,10128,10769	Max MP +243, MP regeneration +6.2%, WIT +3, INT -2.		
428	428,463,41,48,35	P. Def. +2.8%, Casting Spd. +5.2%, Speed +2.		
10390	10390,10493,10090,10124,10065	P. Def. +4%, Casting Spd. +7.5%, Speed +4.		
10391	10391,10494,10091,10125,10066	P. Def. +5.4%, Casting Spd. +10.2%, Speed +5.		
10392	10392,10495,10092,10126,10067	P. Def. +6.8%, Casting Spd. +12.7%, Speed +6.		
10393	10393,10496,10093,10127,10068	P. Def. +8%, Casting Spd. +15%, Speed +7.		
10394	10394,10497,10094,10128,10069	P. Def. +9.4%, Casting Spd. +17.7%, Speed +8.		
429	429,29,42,50,36	M. Atk. +6%, Speed +2, Weight limit +2016.		
10395	10395,10040,10095,10134,10070	M. Atk. +8.5%, Speed +4, Weight limit +2880.		
10396	10396,10041,10096,10135,10071	M. Atk. +11.6%, Speed +5, Weight limit +3916.		
10397	10397,10042,10097,10136,10072	M. Atk. +14.5%, Speed +6, Weight limit +4895.		
10398	10398,10043,10098,10137,10073	M. Atk. +17%, Speed +7, Weight limit +5759.		
10399	10399,10044,10099,10138,10074	M. Atk. +20.1%, Speed +8, Weight limit +6796.		
430	430,44,48,35	Max MP +84, Casting Spd. +5.2%, MP regeneration +2.8%.		
10400	10400,10105,10124,10065	Max MP +120, Casting Spd. +7.5%, MP regeneration +4%.		
10401	10401,10106,10125,10066	Max MP +163, Casting Spd. +10.2%, MP regeneration +5.4%.		
10402	10402,10107,10126,10067	Max MP +204, Casting Spd. +12.7%, MP regeneration +6.8%.		
10403	10403,10108,10127,10068	Max MP +240, Casting Spd. +15%, MP regeneration +8%.		
10404	10404,10109,10128,10069	Max MP +283, Casting Spd. +17.7%, MP regeneration +9.4%.		
431	431,41,48,35	Max CP +62, CP regeneration +14%.		
10405	10405,10090,10124,10065	Max CP +88, CP regeneration +20%.		
10406	10406,10091,10125,10066	Max CP +120, CP regeneration +27.2%.		
10407	10407,10092,10126,10067	Max CP +150, CP regeneration +34%.		
10408	10408,10093,10127,10068	Max CP +177, CP regeneration +40%.		
10409	10409,10094,10128,10069	Max CP +209, CP regeneration +47.2%.		
432	432,465,10090,2447,2423	MP regeneration +2%, M. Atk. +4%, INT +2, WIT -2.		
10410	10410,10498,10091,10936,10875	MP regeneration +2.7%, M. Atk. +5.4%, INT +2, WIT -2.		
10411	10411,10499,10092,10937,10876	MP regeneration +3.4%, M. Atk. +6.8%, INT +2, WIT -2.		
10412	10412,10500,10093,10938,10877	MP regeneration +4%, M. Atk. +8%, INT +2, WIT -2.		
10413	10413,10501,10094,10939,10878	MP regeneration +4.7%, M. Atk. +9.4%, INT +2, WIT -2.		
433	433,466,10568,2450,2426	M. Atk. +5%, MP regeneration -2.5%.		
10414	10414,10502,10569,10948,10887	M. Atk. +6.8%, MP regeneration -3.4%.		
10415	10415,10503,511,10949,10888	M. Atk. +8.5%, MP regeneration -4.2%.		
10416	10416,10504,10570,10950,10889	M. Atk. +10%, MP regeneration -5%.		
10417	10417,10505,10571,10951,10890	M. Atk. +11.8%, MP regeneration -5.9%.		
434	434,468,10090,2447,2423	Casting Spd. +7.5%, M. Def. +4%.		
10418	10418,10506,10091,10936,10875	Casting Spd. +10.2%, M. Def. +5.4%.		
10419	10419,10507,10092,10937,10876	Casting Spd. +12.7%, M. Def. +6.8%.		
10420	10420,10508,10093,10938,10877	Casting Spd. +15%, M. Def. +8%.		
10421	10421,10509,10094,10939,10878	Casting Spd. +17.7%, M. Def. +9.4%.		
435	435,468,10090,2447,2423	Max MP +103, MP regeneration +2.6%, WIT +3, INT -2.		
10422	10422,10506,10091,10936,10875	Max MP +140, MP regeneration +3.6%, WIT +3, INT -2.		
10423	10423,10507,10092,10937,10876	Max MP +175, MP regeneration +4.5%, WIT +3, INT -2.		
10424	10424,10508,10093,10938,10877	Max MP +206, MP regeneration +5.3%, WIT +3, INT -2.		
10425	10425,10509,10094,10939,10878	Max MP +243, MP regeneration +6.2%, WIT +3, INT -2.		
436	436,469,10090,2447,2423	M. Atk. +10%, MP regeneration -5%.		
10426	10426,10510,10091,10936,10875	M. Atk. +13.6%, MP regeneration -6.8%.		
10427	10427,10511,10092,10937,10876	M. Atk. +17%, MP regeneration -8.5%.		
10428	10428,10512,10093,10938,10877	M. Atk. +20%, MP regeneration -10%.		
10429	10429,10513,10094,10939,10878	M. Atk. +23.6%, MP regeneration -11.8%.		
437	437,470,10552,2450,10154	Speed +7, WIT +1, INT -1.		
10430	10430,10514,499,10948,62	Speed +10, WIT +1, INT -1.		
10431	10431,10515,10553,10949,10155	Speed +12, WIT +1, INT -1.		
10432	10432,10516,10554,10950,10156	Speed +14, WIT +1, INT -1.		
10433	10433,10517,10555,10951,10157	Speed +17, WIT +1, INT -1.		
438	438,10609,2451,10700	P. Def. +4%, Casting Spd. +7.5%, Speed +4.		
10434	10434,10610,10952,10701	P. Def. +5.4%, Casting Spd. +10.2%, Speed +5.		
10435	10435,530,10953,581	P. Def. +6.8%, Casting Spd. +12.7%, Speed +6.		
10436	10436,10611,10954,10702	P. Def. +8%, Casting Spd. +15%, Speed +7.		
10437	10437,10612,10955,10703	P. Def. +9.4%, Casting Spd. +17.7%, Speed +8.		
439	439,471,529,2454,2430	P. Def. +5.2%, Casting Spd. +15%.		
10438	10438,10518,10606,10959,10902	P. Def. +6.5%, Casting Spd. +18.8%.		
10439	10439,10519,10607,10960,10903	P. Def. +7.7%, Casting Spd. +22.1%.		
10440	10440,10520,10608,10961,10904	P. Def. +9.1%, Casting Spd. +26%.		
440	440,529,2457,2433	M. Atk. +11.6%, Speed +5, Weight limit +3916.		
10441	10441,10606,10969,10912	M. Atk. +14.5%, Speed +6, Weight limit +4895.		
10442	10442,10607,10970,10913	M. Atk. +17%, Speed +7, Weight limit +5759.		
10443	10443,10608,10971,10914	M. Atk. +20.1%, Speed +8, Weight limit +6796.		
441	441,472,529,2459,2435	Max HP -270, INT +4, WIT -1.		
10444	10444,10521,10606,10975,10918	Max HP -337, INT +4, WIT -1.		
10445	10445,10522,10607,10976,10919	Max HP -397, INT +4, WIT -1.		
10446	10446,10523,10608,10977,10920	Max HP -469, INT +4, WIT -1.		
442	442,473,10649,2463,603	P. Def. +5.2%, Max MP +171, INT -1, WIT +1.		
10447	10447,10524,552,10988,10730	P. Def. +6.5%, Max MP +214, INT -1, WIT +1.		
10448	10448,10525,10650,10989,10731	P. Def. +7.7%, Max MP +251, INT -1, WIT +1.		
10449	10449,10526,10651,10990,10732	P. Def. +9.1%, Max MP +297, INT -1, WIT +1.		
443	443,474,10606,2480,580	Max MP +204, Casting Spd. +12.7%, MP regeneration +6.8%.		
10450	10450,10527,10607,11004,10698	Max MP +240, Casting Spd. +15%, MP regeneration +8%.		
10451	10451,10528,10608,11005,10699	Max MP +283, Casting Spd. +17.7%, MP regeneration +9.4%.		
444	444,530,10953,581	Max CP +150, CP regeneration +34%.		
10452	10452,10611,10954,10702	Max CP +177, CP regeneration +40%.		
