"id","reason","name"
"483","unused-armor","Cerberus Stockings"
"484","unused-armor","Stockings of Aid"
"553","unused-armor","Iron Boots"
"554","unused-armor","Zubei's Boots"
"555","unused-armor","Dragon Boots"
"556","unused-armor","Wolf Boots"
"557","unused-armor","Shining Dragon Boots"
"558","unused-armor","Boots of Victory"
"559","unused-armor","Boots of Valor"
"560","unused-armor","Glorious Boots"
"561","unused-armor","Red Flame Boots"
"562","unused-armor","Elven Crystal Boots"
"563","unused-armor","Dark Crystal Boots"
"564","unused-armor","Implosion Boots"
"565","unused-armor","Dark Dragon Boots"
"566","unused-armor","Elven Vagian Boots"
"567","unused-armor","Dark Vagian Boots"
"568","unused-armor","Composite Boots"
"569","unused-armor","Hell Boots"
"570","unused-armor","Art of Boots"
"571","unused-armor","Masterpiece Boots"
"572","unused-armor","Boots of Silence"
"573","unused-armor","Gust Boots"
"574","unused-armor","Prairie Boots"
"575","unused-armor","Boots of The Underworld"
"576","unused-armor","Boots of Concentration"
"577","unused-armor","Ace's Boots"
"578","unused-armor","Guardian's Boots"
"579","unused-armor","Marksman Boots"
"580","unused-armor","Boots of Mana"
"581","unused-armor","Sage's Boots"
"582","unused-armor","Paradia Boots"
"583","unused-armor","Majestic Boots"
"584","unused-armor","Boots of Solar Eclipse"
"585","unused-armor","Boots of Black Ore"
"586","unused-armor","Boots of Summoning"
"587","unused-armor","Otherworldly Boots"
"588","unused-armor","Elemental Boots"
"589","unused-armor","Boots of Phantom"
"590","unused-armor","Boots of Grace"
"591","unused-armor","Boots of Holy Spirit"
"592","unused-armor","Phoenix Boots"
"593","unused-armor","Cerberus Boots"
"594","unused-armor","Boots of Aid"
"595","unused-armor","Boots of Blessing"
"596","unused-armor","Flame Boots"
"597","unused-armor","Boots of Bravery"
"598","unused-armor","Blood Boots"
"599","unused-armor","Absolute Boots"
"600","unused-armor","Avadon Boots"
"601","unused-armor","Boots of Doom"
"602","unused-armor","Boots of Pledge"
"603","unused-armor","Divine Boots"
"604","unused-armor","Crafted Leather Gloves"
"605","unused-armor","Leather Gauntlets"
"606","unused-armor","Rip Gauntlets"
"607","unused-armor","Ogre Power Gauntlets"
"608","unused-armor","Mithril Gauntlets"
"609","unused-armor","Gauntlets of Ghost"
"610","unused-armor","Saint Knight's Gauntlets"
"611","unused-armor","Soul Leech Gauntlets"
"612","unused-armor","Zubei's Gauntlets"
"613","unused-armor","Sand Dragon Gloves"
"709","unused-armor","Leather Shirt"
"710","unused-armor","Hard Leather Shirt"
"711","unused-armor","Piece Bone Breastplate"
"712","unused-armor","Half Plate Armor"
"713","unused-armor","Leather Pants"
"714","unused-armor","Hard Leather Pants"
"715","unused-armor","Piece Bone Gaiters"
"716","unused-armor","Plate Gaiters"
"717","unused-armor","Leather Gloves"
"718","unused-armor","Hard Leather Gloves"
"719","unused-armor","Crafted Leather Gloves"
"720","unused-armor","Reinforced Gloves"
"721","unused-armor","Leather Boots"
"722","unused-armor","Hard Leather Boots"
"723","unused-armor","Crafted Leather Boots"
"724","unused-armor","Reinforced Boots"
"1103","unused-armor","Cotton Stockings"
"1104","unused-armor","Stockings of Devotion"
"1105","unused-armor","Stockings of Magic"
"1119","unused-armor","Short Leather Gloves"
"1120","unused-armor","Pa'agrian Hand"
"1121","unused-armor","Apprentice's Shoes"
"1122","unused-armor","Cotton Shoes"
"1123","unused-armor","Blue Buckskin Boots"
"1124","unused-armor","Boots of Power"
"1125","unused-armor","Assault Boots"
"1126","unused-armor","Crimson Boots"
"1127","unused-armor","Forgotten Boots"
"1128","unused-armor","Adamantite Boots"
"1129","unused-armor","Crude Leather Shoes"
"1147","unused-armor","Squire's Pants"
"1308","unused-armor","Compound Scale Mail"
"1309","unused-armor","Mithril Breastplate"
"1310","unused-armor","Tunic of Magic"
"1311","unused-armor","Puma Skin Shirt"
"1312","unused-armor","White Tunic"
"1313","unused-armor","Compound Scale Gaiters"
"1314","unused-armor","Mithril Gaiters"
"1315","unused-armor","Stockings of Magic"
"1316","unused-armor","Puma Skin Gaiters"
"1317","unused-armor","Dark Stockings"
"1318","unused-armor","Gloves"
"1319","unused-armor","Leather Gloves"
"1320","unused-armor","Crafted Leather Gloves"
"1321","unused-armor","Rip Gauntlets"
"1322","unused-armor","Bracer"
"1323","unused-armor","Leather Shoes"
"1324","unused-armor","Low Boots"
"1325","unused-armor","Leather Boots"
"1326","unused-armor","Iron Boots"
"1327","unused-armor","Boots"
"2377","unused-armor","Mithril Scale Gaiters"
"2378","unused-armor","Brigandine Gaiters"
"2379","unused-armor","Avadon Gaiters"
"2380","unused-armor","Blue Wolf Gaiters"
"2386","unused-armor","Wooden Gaiters"
"2387","unused-armor","Tempered Mithril Gaiters"
"2388","unused-armor","Zubei's Leather Gaiters"
"2389","unused-armor","Dark Crystal Leggings"
"2396","unused-armor","Elven Mithril Tunic"
"2401","unused-armor","Elven Mithril Stockings"
"2402","unused-armor","Stockings of Zubei"
"2403","unused-armor","Blue Wolf Stockings"
"2404","unused-armor","Stockings of Doom"
"2405","unused-armor","Tallum Stockings"
"2422","unused-armor","Reinforced Leather Boots"
"2423","unused-armor","Boots of Knowledge"
"2424","unused-armor","Manticore Skin Boots"
"2425","unused-armor","Brigandine Boots"
"2426","unused-armor","Elven Mithril Boots"
"2427","unused-armor","Salamander Skin Boots"
"2428","unused-armor","Plate Boots"
"2429","unused-armor","Chain Boots"
"2430","unused-armor","Karmian Boots"
"2431","unused-armor","Plated Leather Boots"
"2432","unused-armor","Dwarven Chain Boots"
"2433","unused-armor","Boots of Seal"
"2434","unused-armor","Rind Leather Boots"
"2435","unused-armor","Demon's Boots"
"2436","unused-armor","Theca Leather Boots"
"2437","unused-armor","Drake Leather Boots"
"2438","unused-armor","Full Plate Boots"
"2439","unused-armor","Blue Wolf Boots"
"2440","unused-armor","Boots of Nightmare"
"2441","unused-armor","Dark Legion Boots"
"2442","unused-armor","Dasparion's Boots"
"2443","unused-armor","Dragon Leather Boots"
"2444","unused-armor","The Boots"
"2445","unused-armor","Dragon Scale Boots"
"2446","unused-armor","Reinforced Leather Gloves"
"2447","unused-armor","Gloves of Knowledge"
"2448","unused-armor","Manticore Skin Gloves"
"2449","unused-armor","Brigandine Gauntlets"
"2450","unused-armor","Elven Mithril Gloves"
"2451","unused-armor","Sage's Worn Gloves"
"2452","unused-armor","Reinforced Mithril Gloves"
"2453","unused-armor","Chain Gloves"
"2454","unused-armor","Karmian Gloves"
"2455","unused-armor","Plated Leather Gloves"
"2456","unused-armor","Dwarven Chain Gloves"
"2457","unused-armor","Gloves of Seal"
"2458","unused-armor","Rind Leather Gloves"
"2459","unused-armor","Demon's Gloves"
"2460","unused-armor","Theca Leather Gloves"
"2461","unused-armor","Drake Leather Gloves"
"2462","unused-armor","Full Plate Gauntlets"
"2463","unused-armor","Divine Gloves"
"2464","unused-armor","Avadon Gloves"
"2465","unused-armor","Chain Gloves of Silence"
"2466","unused-armor","Guardian's Gloves"
"2467","unused-armor","Gloves of Blessing"
"2468","unused-armor","Blessed Gloves"
"2469","unused-armor","Gloves of The Underworld"
"2470","unused-armor","Gloves of Phantom"
"2471","unused-armor","Dark Legion Gloves"
"2472","unused-armor","Dark Crystal Gloves"
"2473","unused-armor","The Gloves"
"2474","unused-armor","Dasparion's Gloves"
"2475","unused-armor","Doom Gloves"
"2476","unused-armor","Dragon Gauntlets"
"2477","unused-armor","Dragon Leather Gloves"
"2478","unused-armor","Tallum Gloves"
"2479","unused-armor","Gauntlets of Nightmare"
"2480","unused-armor","Elemental Gloves"
"2481","unused-armor","Gloves of Grace"
"2482","unused-armor","Majestic Gauntlets"
"2483","unused-armor","Gust Bracer"
"2484","unused-armor","Cerberus Gloves"
"2485","unused-armor","Implosion Gauntlets"
"2486","unused-armor","Paradia Gloves"
"2487","unused-armor","Blue Wolf Gloves"
"2488","unused-armor","Phoenix Gloves"
"2489","unused-armor","Gloves of Black Ore"
"4224","unused-armor","Dream Armor"
"4225","unused-armor","Dream Stockings"
"4226","unused-armor","Dream Gloves"
"4227","unused-armor","Dream Boots"
"4228","unused-armor","Ubiquitous Armor"
"4229","unused-armor","Ubiquitous Stockings"
"4230","unused-armor","Ubiquitous Gloves"
"4231","unused-armor","Ubiquitous Boots"
"4236","unused-armor","Gara Item"
"5287","unused-armor","Sealed Dark Crystal breastplate"
"5288","unused-armor","Sealed Dark Crystal Gaiters"
"5290","unused-armor","Sealed Dark Crystal Gloves"
"5291","unused-armor","Sealed Dark Crystal Boots"
"5293","unused-armor","Sealed Tallum Plate Armor"
"5295","unused-armor","Sealed Tallum Gloves"
"5296","unused-armor","Sealed Tallum Boots"
"5297","unused-armor","Sealed Dark Crystal Leather Armor"
"5298","unused-armor","Sealed Dark Crystal Leggings"
"5299","unused-armor","Sealed Gloves of The Underworld"
"5300","unused-armor","Sealed Boots of The Underworld"
"5301","unused-armor","Sealed Tallum Leather Armor"
"5302","unused-armor","Sealed Gust Bracer"
"5303","unused-armor","Sealed Gust Boots"
"5304","unused-armor","Sealed Tallum Tunic"
"5305","unused-armor","Sealed Tallum Stockings"
"5306","unused-armor","Sealed Gloves of Black Ore"
"5307","unused-armor","Sealed Red Flame Boots"
"5308","unused-armor","Sealed Dark Crystal Robe"
"5309","unused-armor","Sealed Phoenix Gloves"
"5310","unused-armor","Sealed Phoenix Boots"
"5311","unused-armor","Sealed Armor of Nightmare"
"5313","unused-armor","Sealed Gauntlets of Nightmare"
"5314","unused-armor","Sealed Boots of Nightmare"
"5316","unused-armor","Sealed Majestic Plate Armor"
"5318","unused-armor","Sealed Majestic Gauntlets"
"5319","unused-armor","Sealed Majestic Boots"
"5320","unused-armor","Sealed Leather Armor of Nightmare"
"5321","unused-armor","Sealed Dark Legion Gloves"
"5322","unused-armor","Sealed Dark Legion Boots"
"5323","unused-armor","Sealed Majestic Leather Armor"
"5324","unused-armor","Sealed Gloves of Phantom"
"5325","unused-armor","Sealed Boots of Phantom"
"5326","unused-armor","Sealed Nightmare Robe"
"5327","unused-armor","Sealed Cerberus Gloves"
"5328","unused-armor","Sealed Cerberus Boots"
"5329","unused-armor","Sealed Majestic Robe"
"5330","unused-armor","Sealed Dasparion's Gloves"
"5331","unused-armor","Sealed Dasparion's Boots"
"5576","unused-armor","Sound Test Boots"
"5590","unused-armor","Squeaking Shoes"
"5709","unused-armor","Sealed Zubei's Gauntlets"
"5710","unused-armor","Zubei's Gauntlets"
"5711","unused-armor","Zubei's Gauntlets"
"5712","unused-armor","Zubei's Gauntlets"
"5713","unused-armor","Sealed Avadon Gloves"
"5714","unused-armor","Avadon Gloves"
"5715","unused-armor","Avadon Gloves"
"5716","unused-armor","Avadon Gloves"
"5717","unused-armor","Sealed Blue Wolf Gloves"
"5718","unused-armor","Blue Wolf Gloves"
"5719","unused-armor","Blue Wolf Gloves"
"5720","unused-armor","Blue Wolf Gloves"
"5721","unused-armor","Sealed Doom Gloves"
"5722","unused-armor","Doom Gloves"
"5723","unused-armor","Doom Gloves"
"5724","unused-armor","Doom Gloves"
"5725","unused-armor","Sealed Zubei's Boots"
"5726","unused-armor","Zubei's Boots"
"5727","unused-armor","Zubei's Boots"
"5728","unused-armor","Zubei's Boots"
"5729","unused-armor","Sealed Avadon Boots"
"5730","unused-armor","Avadon Boots"
"5731","unused-armor","Avadon Boots"
"5732","unused-armor","Avadon Boots"
"5733","unused-armor","Sealed Blue Wolf Boots"
"5734","unused-armor","Blue Wolf Boots"
"5735","unused-armor","Blue Wolf Boots"
"5736","unused-armor","Blue Wolf Boots"
"5737","unused-armor","Sealed Boots of Doom"
"5738","unused-armor","Doom Boots"
"5739","unused-armor","Doom Boots"
"5740","unused-armor","Doom Boots"
"5765","unused-armor","Dark Crystal Gloves"
"5766","unused-armor","Dark Crystal Gloves"
"5767","unused-armor","Dark Crystal Gloves"
"5768","unused-armor","Tallum Gloves"
"5769","unused-armor","Tallum Gloves"
"5770","unused-armor","Tallum Gloves"
"5771","unused-armor","Gauntlets of Nightmare"
"5772","unused-armor","Gauntlets of Nightmare"
"5773","unused-armor","Gauntlets of Nightmare"
"5774","unused-armor","Majestic Gauntlets"
"5775","unused-armor","Majestic Gauntlets"
"5776","unused-armor","Majestic Gauntlets"
"5777","unused-armor","Dark Crystal Boots"
"5778","unused-armor","Dark Crystal Boots"
"5779","unused-armor","Dark Crystal Boots"
"5780","unused-armor","Tallum Boots"
"5781","unused-armor","Tallum Boots"
"5782","unused-armor","Tallum Boots"
"5783","unused-armor","Boots of Nightmare"
"5784","unused-armor","Boots of Nightmare"
"5785","unused-armor","Boots of Nightmare"
"5786","unused-armor","Majestic Boots"
"5787","unused-armor","Majestic Boots"
"5788","unused-armor","Majestic Boots"
"6374","unused-armor","Imperial Crusader Gaiters"
"6375","unused-armor","Imperial Crusader Gauntlets"
"6376","unused-armor","Imperial Crusader Boots"
"6380","unused-armor","Draconic Leather Gloves"
"6381","unused-armor","Draconic Leather Boots"
"6384","unused-armor","Major Arcana Gloves"
"6385","unused-armor","Major Arcana Boots"
"6674","unused-armor","Sealed Imperial Crusader Breastplate"
"6675","unused-armor","Sealed Imperial Crusader Gaiters"
"6676","unused-armor","Sealed Imperial Crusader Gauntlet"
"6677","unused-armor","Sealed Imperial Crusader Boots"
"6680","unused-armor","Sealed Draconic Leather Armor"
"6681","unused-armor","Sealed Draconic Leather Glove"
"6682","unused-armor","Sealed Draconic Leather Boots"
"6684","unused-armor","Sealed Major Arcana Robe"
"6685","unused-armor","Sealed Major Arcana Glove"
"6686","unused-armor","Sealed Major Arcana Boots"
"7852","unused-armor","Clan Oath Gauntlets"
"7853","unused-armor","Clan Oath Sabaton"
"7855","unused-armor","Clan Oath Leather Gloves"
"7856","unused-armor","Clan Oath Boots"
"7858","unused-armor","Clan Oath Padded Gloves"
"7859","unused-armor","Clan Oath Sandals"
"7862","unused-armor","Apella Gauntlet"
"7863","unused-armor","Apella Solleret"
"7865","unused-armor","Apella Leather Gloves"
"7866","unused-armor","Apella Boots"
"7868","unused-armor","Apella Silk Gloves"
"7869","unused-armor","Apella Sandals"
"7871","unused-armor","Sealed Apella Plate Armor"
"7872","unused-armor","Sealed Apella Gauntlet"
"7873","unused-armor","Sealed Apella Solleret"
"7874","unused-armor","Sealed Apella Brigandine"
"7875","unused-armor","Sealed Apella Leather Gloves"
"7876","unused-armor","Sealed Apella Boots"
"7877","unused-armor","Sealed Apella Doublet"
"7878","unused-armor","Sealed Apella Silk Gloves"
"7879","unused-armor","Sealed Apella Sandals"
"9030","unused-armor","Shadow Item: Bronze Breastplate"
"9031","unused-armor","Shadow Item: Bronze Gaiters"
"9032","unused-armor","Shadow Item: Hard Leather Shirt"
"9033","unused-armor","Shadow Item: Hard Leather Gaiters"
"9034","unused-armor","Shadow Item: Tunic of Magic"
"9035","unused-armor","Shadow Item: Stockings of Magic"
"9038","unused-armor","Shadow Item: Boots"
"9039","unused-armor","Shadow Item: Bracer"
"9040","unused-armor","Shadow Item: Mithril Breastplate"
"9041","unused-armor","Shadow Item: Mithril Gaiters"
"9042","unused-armor","Shadow Item: Gauntlet"
"9043","unused-armor","Shadow Item: Iron Boots"
"9045","unused-armor","Shadow Item: Reinforced Leather Shirt"
"9046","unused-armor","Shadow Item: Reinforced Leather Gaiters"
"9047","unused-armor","Shadow Item: Reinforced Leather Gloves"
"9048","unused-armor","Shadow Item: Reinforced Leather Boots"
"9049","unused-armor","Shadow Item: Tunic of Knowledge"
"9050","unused-armor","Shadow Item: Stockings of Knowledge"
"9051","unused-armor","Shadow Item: Gloves of Knowledge"
"9052","unused-armor","Shadow Item: Boots of Knowledge"
"9054","unused-armor","Shadow Item: Composite Armor"
"9055","unused-armor","Shadow Item: Composite Boots"
"9058","unused-armor","Shadow Item: Theca Leather Armor"
"9059","unused-armor","Shadow Item: Theca Leather Gaiters"
"9060","unused-armor","Shadow Item: Theca Leather Boots"
"9061","unused-armor","Shadow Item: Theca Leather Gloves"
"9062","unused-armor","Shadow Item: Demon's Tunic"
"9063","unused-armor","Shadow Item: Demon's Stockings"
"9064","unused-armor","Shadow Item: Demon's Boots"
"9065","unused-armor","Shadow Item: Demon's Gloves"
"9067","unused-armor","Shadow Item: Zubei's Breastplate"
"9068","unused-armor","Shadow Item: Zubei's Gaiters"
"9071","unused-armor","Shadow Item: Zubei's Gauntlet"
"9072","unused-armor","Shadow Item: Zubei's Boots"
"9073","unused-armor","Shadow Item: Zubei's Leather Shirt"
"9074","unused-armor","Shadow Item: Zubei's Leather Gaiters"
"9075","unused-armor","Shadow Item: Zubei's Gauntlet"
"9076","unused-armor","Shadow Item: Zubei's Boots"
"9077","unused-armor","Shadow Item: Tunic of Zubei"
"9078","unused-armor","Shadow Item: Stockings of Zubei"
"9079","unused-armor","Shadow Item: Zubei's Gauntlet"
"9080","unused-armor","Shadow Item: Zubei's Boots"
"9081","unused-armor","Shadow Item: Dark Crystal Breastplate"
"9082","unused-armor","Shadow Item: Dark Crystal Gaiters"
"9085","unused-armor","Shadow Item: Dark Crystal Gloves"
"9086","unused-armor","Shadow Item: Dark Crystal Boots"
"9087","unused-armor","Shadow Item: Dark Crystal Leather Armor"
"9088","unused-armor","Shadow Item: Dark Crystal Leggings"
"9089","unused-armor","Shadow Item: Dark Crystal Gloves"
"9090","unused-armor","Shadow Item: Dark Crystal Boots"
"9091","unused-armor","Shadow Item: Dark Crystal Robe"
"9092","unused-armor","Shadow Item: Dark Crystal Gloves"
"9093","unused-armor","Shadow Item: Dark Crystal Boots"
"9094","unused-armor","Shadow Item: Majestic Plate Armor"
"9096","unused-armor","Shadow Item: Magestic Gauntlet"
"9097","unused-armor","Shadow Item: Magestic Boots"
"9098","unused-armor","Shadow Item: Majestic Leather Armor"
"9099","unused-armor","Shadow Item: Magestic Gauntlet"
"9100","unused-armor","Shadow Item: Magestic Boots"
"9101","unused-armor","Shadow Item: Magestic Robe"
"9102","unused-armor","Shadow Item: Magestic Gauntlet"
"9103","unused-armor","Shadow Item: Magestic Boots"
"9128","unused-armor","Shadow Item: Mithril Gauntlet"
"9232","no-server-item",""
"9233","no-server-item",""
"9234","no-server-item",""
"9235","no-server-item",""
"9236","no-server-item",""
"9237","no-server-item",""
"9238","no-server-item",""
"9376","no-server-item","Dynasty Rapier"
"9377","no-server-item","Dynasty Rapier"
"9378","no-server-item","Dynasty Rapier"
"9379","no-server-item","Dynasty Rapier"
"9380","no-server-item","Dynasty Ancient Sword"
"9381","no-server-item","Dynasty Ancient Sword"
"9382","no-server-item","Dynasty Ancient Sword"
"9383","no-server-item","Dynasty Ancient Sword"
"9384","no-server-item","Dynasty Crossbow"
"9385","no-server-item","Dynasty Crossbow"
"9386","no-server-item","Dynasty Crossbow"
"9387","no-server-item","Dynasty Crossbow"
"9391","no-server-item","Bow Master Circlet"
"9392","no-server-item","Dagger Master Circlet"
"9393","no-server-item","Darkelf Circlet"
"9394","no-server-item","Darkelf High Circlet"
"9395","no-server-item","Dwarf Circlet"
"9396","no-server-item","Dwarf High Circlet"
"9397","no-server-item","Elf Circlet"
"9398","no-server-item","Elf High Circlet"
"9399","no-server-item","Enchanter Circlet"
"9400","no-server-item","Enchant Knight Circlet"
"9401","no-server-item","Force Master Circlet"
"9402","no-server-item","Healer Circlet"
"9403","no-server-item","High Phantom Mask"
"9404","no-server-item","Human Circlet"
"9405","no-server-item","Human High Circlet"
"9408","no-server-item","Knight Circlet"
"9409","no-server-item","Mask of Chaotic"
"9410","no-server-item","Orc Circlet"
"9411","no-server-item","Orc High Circlet"
"9412","no-server-item","Summoner Circlet"
"9413","no-server-item","Weapon Master Circlet"
"9414","no-server-item","Wizard Circlet"
"9416","no-server-item","Dynasty Breastplate"
"9421","no-server-item","Dynasty Gaiters"
"9422","no-server-item","Dynasty Helm"
"9423","no-server-item","Dynasty Gloves"
"9424","no-server-item","Dynasty Boots"
"9425","no-server-item","Dynasty Leather Armor"
"9428","no-server-item","Dynasty Leather Pants"
"9429","no-server-item","Dynasty Leather Helm"
"9430","no-server-item","Dynasty Leather Gloves"
"9431","no-server-item","Dynasty Leather Shoes"
"9432","no-server-item","Dynasty Robe"
"9437","no-server-item","Dynasty Stockings"
"9438","no-server-item","Dynasty Cap"
"9439","no-server-item","Dynasty Mittens"
"9440","no-server-item","Dynasty Slippers"
"9441","no-server-item","Dynasty Shield"
"9442","no-server-item","Dynasty Blade"
"9443","no-server-item","Dynasty Two Handed Sword"
"9444","no-server-item","Dynasty Magic Sword"
"9445","no-server-item","Dynasty Bow"
"9446","no-server-item","Dynasty Dagger"
"9447","no-server-item","Dynasty Spear"
"9448","no-server-item","Dynasty Hammer"
"9449","no-server-item","Dynasty Staff"
"9450","no-server-item","Dynasty Fist"
"9529","no-server-item","Dynasty Shield"
"9600","no-server-item","DragonFire Armor"
"9601","no-server-item","DragonFire Gloves"
"9602","no-server-item","DragonFire Boots"
"9603","no-server-item","DragonFire Helmet"
"9604","no-server-item","DragonFire Leather Armor"
"9605","no-server-item","DragonFire Gloves"
"9606","no-server-item","DragonFire Boots"
"9607","no-server-item","DragonFire Helmet"
"9608","no-server-item","DragonFire Tunic"
"9609","no-server-item","DragonFire Stockings"
"9610","no-server-item","DragonFire Gloves"
"9611","no-server-item","DragonFire Boots"
"9612","no-server-item","DragonFire Hat"
"9700","no-server-item","Devil Spear"
"9701","no-server-item","Medusa Blade"
"9702","no-server-item","Hades Dagger"
"9703","no-server-item","Thor Hammer"
"9704","no-server-item","Odin Cleaver"
"9705","no-server-item","Artemis Bow"
"9706","no-server-item","Zeus Mace"
"9707","no-server-item","Ares Fists"
"9708","no-server-item","Aphrodite Staff"
"9709","no-server-item","Dual Medusa Blade"
"9800","no-server-item",""
"9801","no-server-item",""
"9802","no-server-item",""
"9854","no-server-item","Dynasty Blade"
"9855","no-server-item","Dynasty Blade"
"9856","no-server-item","Dynasty Blade"
"9857","no-server-item","Dynasty Two Handed Sword"
"9858","no-server-item","Dynasty Two Handed Sword"
"9859","no-server-item","Dynasty Two Handed Sword"
"9860","no-server-item","Dynasty Magic Sword"
"9861","no-server-item","Dynasty Magic Sword"
"9862","no-server-item","Dynasty Magic Sword"
"9863","no-server-item","Dynasty Bow"
"9864","no-server-item","Dynasty Bow"
"9865","no-server-item","Dynasty Bow"
"9866","no-server-item","Dynasty Dagger"
"9867","no-server-item","Dynasty Dagger"
"9868","no-server-item","Dynasty Dagger"
"9869","no-server-item","Dynasty Spear"
"9870","no-server-item","Dynasty Spear"
"9871","no-server-item","Dynasty Spear"
"9872","no-server-item","Dynasty Hammer"
"9873","no-server-item","Dynasty Hammer"
"9874","no-server-item","Dynasty Hammer"
"9875","no-server-item","Dynasty Staff"
"9876","no-server-item","Dynasty Staff"
"9877","no-server-item","Dynasty Staff"
"9878","no-server-item","Dynasty Fist"
"9879","no-server-item","Dynasty Fist"
"9880","no-server-item","Dynasty Fist"
"15000","no-server-item","Epic Totem"
"16000","no-server-item","Adena Shop"
