"chest","name","base","style","type","origGrade","head","legs","gloves","feet","shield","shieldSkill","profile"
"2376","Avadon Heavy Set","Avadon Breastplate","chestlegs","HEAVY","B","7860","2379","5714","5730","673","3548","3519"
"2381","Doom Heavy Set","Doom Plate Armor","full","HEAVY","B","7860","0","5722","5738","110","3549","3525"
"2382","Tallum Heavy Set","Tallum Plate Armor","full","HEAVY","A","7860","0","5768","5780","0","0","3531"
"2383","Majestic Heavy Set","Majestic Plate Armor","full","HEAVY","A","7860","0","5774","5786","0","0","3537"
"2384","Zubei Light Set","Zubei's Leather Shirt","chestlegs","LIGHT","B","2416","2388","5711","5727","0","0","3520"
"2385","Dark Crystal Light Set","Dark Crystal Leather Armor","chestlegs","LIGHT","A","2416","2389","5766","5778","0","0","3532"
"2390","Avadon Light Set","Avadon Leather Armor","full","LIGHT","B","2416","0","5715","5731","0","0","3521"
"2391","Blue Wolf Light Set","Blue Wolf Leather Armor","full","LIGHT","B","2416","0","5719","5735","0","0","3526"
"2392","Doom Light Set","Leather Armor of Doom","full","LIGHT","B","2416","0","5723","5739","0","0","3527"
"2393","Tallum Light Set","Tallum Leather Armor","full","LIGHT","A","2416","0","5769","5781","0","0","3533"
"2394","Nightmare Light Set","Nightmarish Leather Armor","full","LIGHT","A","2416","0","5772","5784","0","0","3538"
"2395","Majestic Leather Set","Majestic Leather Armor","full","LIGHT","A","2416","0","5775","5787","0","0","3539"
"2396","Elven Mithril Set","Elven Mithril Tunic","chestlegs","MAGIC","D","41","2401","2450","2426","0","0","m2"
"2397","Zubei Robe Set","Tunic of Zubei","chestlegs","MAGIC","B","41","2402","5712","5728","0","0","3522"
"2398","Blue Wolf Robe Set","Blue Wolf Tunic","chestlegs","MAGIC","B","41","2403","5720","5736","0","0","3528"
"2399","Doom Robe Set","Tunic of Doom","chestlegs","MAGIC","B","41","2404","5724","5740","0","0","3529"
"2400","Tallum Robe Set","Tallum Tunic","chestlegs","MAGIC","A","41","2405","5770","5782","0","0","3534"
"2406","Avadon Robe Set","Avadon Robe","full","MAGIC","B","41","0","5716","5732","0","0","3523"
"2407","Dark Crystal Robe Set","Dark Crystal Robe","full","MAGIC","A","41","0","5767","5779","0","0","3535"
"2408","Nightmare Robe Set","Nightmare Robe","full","MAGIC","A","41","0","5773","5785","0","0","3540"
"2409","Majestic Robe Set","Majestic Robe","full","MAGIC","A","41","0","5776","5788","0","0","3541"
"6373","Imperial Crusader Set","Imperial Crusader Breastplate","chestlegs","HEAVY","S","7860","6374","6375","6376","6377","3554","3553"
"6379","Draconic Leather Set","Draconic Leather Armor","full","LIGHT","S","2416","0","6380","6381","0","0","3555"
"6383","Major Arcana Set","Major Arcana Robe","full","MAGIC","S","41","0","6384","6385","0","0","3556"
"7851","Clan Oath Heavy Set","Clan Oath Armor","full","HEAVY","D","7860","0","7852","7853","0","0","3605"
"7854","Clan Oath Light Set","Clan Oath Brigandine","full","LIGHT","D","2416","0","7855","7856","0","0","3606"
"7857","Clan Oath Robe Set","Clan Oath Aketon","full","MAGIC","D","41","0","7858","7859","0","0","3607"
"7861","Apella Heavy Set","Apella Plate Armor","full","HEAVY","A","7860","0","7862","7863","0","0","3608"
"7864","Apella Light Set","Apella Brigandine","full","LIGHT","A","2416","0","7865","7866","0","0","3609"
"7867","Apella Robe Set","Apella Doublet","full","MAGIC","A","41","0","7868","7869","0","0","3610"
