# weapongrp models, made by unique_weapongrp_models.ps1 from C:\Users\KRIVOSHEEC\Desktop\1\system\weapongrp.dat.models.bak
# 2651 rows -> 537 looks, 428 of them in the cut down table. Backup of the full table : C:\Users\KRIVOSHEEC\Desktop\1\system\weapongrp.dat.models.bak
# rep_id	members	look	kind
18	18,663	lineageweapons.leather_shield_m00_sh|lineageweaponstex.leather_shield_t00_sh|lineageweaponstex.round_shield_t01_sh	shield
19	19,104,635,637,1329	lineageweapons.small_shield_m00_sh|lineageweaponstex.small_shield_t00_sh|lineageweaponstex.small_shield_t01_sh	shield
20	20,1330	lineageweapons.buckler_m00_sh|lineageweaponstex.buckler_t00_sh|lineageweaponstex.round_shield_t01_sh	shield
66	66,1296,3029,12080,12081,12082,12083,12084,12950,12951,12952,12953,12954,13420,13421,13422,13423,13424	lineageweapons.gladius_m00_wp|lineageweaponstex.gladius_t00_wp	weapon
1510	1510,12085,12086,12087,12088,12089,13027,13028,13029,13030,13031	lineageweapons.orcish_sword_m00_wp|lineageweaponstex.orcish_sword_t00_wp	weapon
68	68,146,6354,8973,12090,12091,12092,12093,12094,12279,12280,13562,13563,13564,13565,13566	lineageweapons.falchion_m00_wp|lineageweaponstex.falchion_t00_wp	weapon
69	69,138,1297,7826,8586,12095,12096,12097,12098,12258,12259,12955,12956,12957,12958,12959,13623,13624,13625,13626	lineageweapons.bastard_sword_m00_wp|lineageweaponstex.bastard_sword_t00_wp	weapon
70	70,12099,12100,12101,12102	lineageweapons.claymore_m00_wp|lineageweaponstex.claymore_t00_wp	weapon
71	71,12103,12104,12105	lineageweapons.flamberge_m00_wp|lineageweaponstex.flamberge_t00_wp	weapon
72	72,12106,12107,12108	lineageweapons.stormbringer_m00_wp|lineageweaponstex.stormbringer_t00_wp	weapon
147	147,12109,12110,12111,12281	lineageweapons.shamshir_m00_wp|lineageweaponstex.shamshir_t00_wp	weapon
8830	8830,12112,12113,12114	lineageweapons.katana_m00_wp|lineageweaponstex.katana_t00_wp	weapon
75	75,1298,12115,12116,12117,12960,12961,12962,12963,12964	lineageweapons.caliburs_m00_wp|lineageweaponstex.caliburs_t00_wp	weapon
140	140,4700,8839,8926,8991,12118,12119,12120,12262,12263,13464,13465,13466	lineageweapons.sword_of_delusion_m00_wp|lineageweaponstex.sword_of_delusion_t00_wp	weapon
77	77,12121,12122,12123	lineageweapons.tsurugi_m00_wp|lineageweaponstex.tsurugi_t00_wp	weapon
78	78,8849,9001,12124,12125	lineageweapons.great_sword_m00_wp|lineageweaponstex.great_sword_t00_wp	weapon
79	79,12126,12127	lineageweapons.sword_of_damascus_m00_wp|lineageweaponstex.sword_of_damascus_t00_wp	weapon
80	80,8859,9011,12128	lineageweapons.tallum_blade_m00_wp|lineageweaponstex.tallum_blade_t00_wp	weapon
81	81,9021,12129	lineageweapons.dragon_slayer_m00_wp|lineageweaponstex.dragon_slayer_t00_wp	weapon
82	82,6364	lineageweapons.forgotten_blade_m00_wp|lineageweaponstex.forgotten_blade_t00_wp	weapon
83	83,12130,12131,12132,12133	lineageweapons.sword_of_magic_m00_wp|lineageweaponstex.sword_of_magic_t00_wp	weapon
84	84,137,12134,12135,12136,12256,12257	lineageweapons.homunkuluss_sword_m00_wp|lineageweaponstex.homunkuluss_sword_t00_wp	weapon
85	85,12137	lineageweapons.phantom_sword_m00_wp|lineageweaponstex.phantom_sword_t00_wp	weapon
4221	4221,7829,8589,12138,12139,12140,12141,13635,13636,13637,13638	lineageweapons.tomahawk_m00_wp|lineageweaponstex.tomahawk_t00_wp	weapon
87	87,1511,8974,12142,12143,12144,12145,12146,13032,13033,13034,13035,13036	lineageweapons.iron_hammer_m00_wp|lineageweaponstex.iron_hammer_t00_wp	weapon
88	88,12147,12148,12149,12150	lineageweapons.morning_star_m00_wp|lineageweaponstex.morning_star_t00_wp	weapon
89	89,1301,12151,12152,12153,12975,12976,12977,12978,12979	lineageweapons.big_hammer_m00_wp|lineageweaponstex.big_hammer_t00_wp	weapon
90	90,12154,12155,12156,12157	lineageweapons.goathead_staff_m00_wp|lineageweaponstex.goathead_staff_t00_wp	weapon
91	91,8850,9002,12158,12159	lineageweapons.heavy_war_axe_m00_wp|lineageweaponstex.heavy_war_axe_t00_wp	weapon
92	92,8851,9003,12160,12161	lineageweapons.sprites_staff_m00_wp|lineageweaponstex.sprites_staff_t00_wp	weapon
93	93,12162,12163,12164,12165	lineageweapons.winged_spear_m00_wp|lineageweaponstex.winged_spear_t00_wp	weapon
94	94,1302,8831,12166,12167,12168,12980,12981,12982,12983,12984	lineageweapons.bech_de_corbin_m00_wp|lineageweaponstex.bech_de_corbin_t00_wp	weapon
95	95,8840,8927,8992,12169,12170,12171	lineageweapons.poleaxe_m00_wp|lineageweaponstex.poleaxe_t00_wp	weapon
97	97,1303,12175,12176,12985,12986,12987,12988,12989	lineageweapons.lancia_m00_wp|lineageweaponstex.lancia_t00_wp	weapon
98	98,8860,9012,12177	lineageweapons.halbard_m00_wp|lineageweaponstex.halbard_t00_wp	weapon
99	99,310,319,320,322,323,324,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,12178,12179,12180,12181,12182,12768,12769,12770,12771,12772,12806,12807,12808,12809,12810,12811,12812,12813,12818,12819,12820,12821,12822,12823,12824,12825,12826,12827,12828,12835,12836,12837,12838,12839,12840,12841,12842,12843,12844,12845,12846,12847,12848,12849,12850,12851,12852,12853,12854,12855,12856,12857,12858,12859,12860,12861,12862,12863,12864,12865,12866,12867,12868,12869,12870,12871,12872,12873,12874,12875	lineageweapons.apprentices_spellbook_m00_wp|lineageweaponstex.apprentices_spellbook_t00_wp	weapon
100	100,8975,12183,12184,12185,12186,12187	lineageweapons.voodoo_doll_m00_wp|lineageweaponstex.voodoo_doll_t00_wp	weapon
101	101,12188,12189,12190,12191	lineageweapons.scroll_of_wisdom_m00_wp|lineageweaponstex.scroll_of_wisdom_t00_wp	weapon
102	102,660	lineageweapons.round_shield_m00_sh|lineageweaponstex.round_shield_t00_sh|lineageweaponstex.round_shield_t01_sh	shield
103	103,639,1332	lineageweapons.tower_shield_m00_sh|lineageweaponstex.tower_shield_t00_sh|lineageweaponstex.tower_shield_t01_sh	shield
105	105	lineageweapons.implosion_shield_m00_sh|lineageweaponstex.implosion_shield_t00_sh|lineageweaponstex.implosion_shield_t01_sh	shield
106	106,7014	lineageweapons.dark_dragon_shield_m00_sh|lineageweaponstex.dark_dragon_shield_t00_sh|lineageweaponstex.tower_shield_t01_sh	shield
107	107,658,664,669,9056	lineageweapons.composite_shield_m00_sh|lineageweaponstex.composite_shield_t00_sh|lineageweaponstex.composite_shield_t01_sh	shield
108	108,640	lineageweapons.masterpiece_shield_m00_sh|lineageweaponstex.masterpiece_shield_t00_sh|lineageweaponstex.masterpiece_shield_t01_sh	shield
109	109,659	lineageweapons.shield_of_sola_eclipse_m00_sh|lineageweaponstex.shield_of_sola_eclipse_t00_sh|lineageweaponstex.buckler_t01_sh	shield
110	110,636,653,666	lineageweapons.doom_shield_m00_sh|lineageweaponstex.doom_shield_t00_sh|lineageweaponstex.bone_shield_t01_sh	shield
111	111,654,668	lineageweapons.shield_of_pledge_m00_sh|lineageweaponstex.shield_of_pledge_t00_sh|lineageweaponstex.buckler_t01_sh	shield
120	120,121,12192,12193,12194,12195,12196,12197,12198,12199,12200,12201	lineageweapons.sword_of_watershadow_m00_wp|lineageweaponstex.sword_of_watershadow_t00_wp	weapon
122	122,12202,12203,12204,12205,12206	lineageweapons.handmade_sword_m00_wp|lineageweaponstex.handmade_sword_t00_wp	weapon
124	124,8821,8982,12211,12212,12213,12214	lineageweapons.twohanded_sword_m00_wp|lineageweaponstex.twohanded_sword_t00_wp	weapon
125	125,12215,12216,12217,12218	lineageweapons.spinebone_sword_m00_wp|lineageweaponstex.spinebone_sword_t00_wp	weapon
126	126,12219,12220,12221,12222	lineageweapons.artisans_sword_m00_wp|lineageweaponstex.artisans_sword_t00_wp	weapon
8822	8822,8983,12223,12224,12225,12226	lineageweapons.crimson_sword_m00_wp|lineageweaponstex.crimson_sword_t00_wp	weapon
128	128,4219,12227,12228,12229,12230	lineageweapons.knights_sword_m00_wp|lineageweaponstex.knights_sword_t00_wp	weapon
129	129,141,12231,12232,12233,12234,12264,12265	lineageweapons.sword_of_revolution_m00_wp|lineageweaponstex.sword_of_revolution_t00_wp	weapon
130	130,12235,12236,12237,12238	lineageweapons.elven_sword_m00_wp|lineageweaponstex.elven_sword_t00_wp	weapon
131	131,12239,12240,12241	lineageweapons.spirits_sword_m00_wp|lineageweaponstex.spirits_sword_t00_wp	weapon
132	132,12242,12243,12244	lineageweapons.sword_of_limit_m00_wp|lineageweaponstex.sword_of_limit_t00_wp	weapon
133	133,12245,12246,12247	lineageweapons.raid_sword_m00_wp|lineageweaponstex.raid_sword_t00_wp	weapon
134	134,12248,12249,12250	lineageweapons.sword_of_nightmare_m00_wp|lineageweaponstex.sword_of_nightmare_t00_wp	weapon
135	135,12251,12252,12253	lineageweapons.samurai_longsword_m00_wp|lineageweaponstex.samurai_longsword_t00_wp	weapon
136	136,12254,12255	lineageweapons.limpid_sword_m00_wp|lineageweaponstex.limpid_sword_t00_wp	weapon
139	139,145,12260,12261,12276,12277,12278	lineageweapons.deathbreath_sword_m00_wp|lineageweaponstex.deathbreath_sword_t00_wp	weapon
142	142,8852,9004,12266,12267	lineageweapons.kshanberk_m00_wp|lineageweaponstex.kshanberk_t00_wp	weapon
143	143,12268,12269,12270,12271	lineageweapons.sword_of_mystic_m00_wp|lineageweaponstex.sword_of_mystic_t00_wp	weapon
144	144,12272,12273,12274,12275	lineageweapons.sword_of_occult_m00_wp|lineageweaponstex.sword_of_occult_t00_wp	weapon
148	148,8853,9005,12282,12283	lineageweapons.sword_of_valhalla_m00_wp|lineageweaponstex.sword_of_valhalla_t00_wp	weapon
149	149,230,12284,12548,12549,12550	lineageweapons.needle_wolverine_m00_wp|lineageweaponstex.needle_wolverine_t00_wp	weapon
150	150,12285	lineageweapons.elemental_sword_m00_wp|lineageweaponstex.elemental_sword_t00_wp	weapon
151	151,9022,12286	lineageweapons.sword_of_miracle_m00_wp|lineageweaponstex.sword_of_miracle_t00_wp	weapon
152	152,12287,12288,12289,12290,12291	lineageweapons.heavy_chisel_m00_wp|lineageweaponstex.heavy_chisel_t00_wp	weapon
154	154,12297,12298,12299,12300,12301	lineageweapons.mace_m00_wp|lineageweaponstex.dwarven_mace_t00_wp	weapon
155	155,8976,12302,12303,12304,12305,12306	lineageweapons.heavy_mace_m00_wp|lineageweaponstex.buzdygan_t00_wp	weapon
156	156,12307,12308,12309,12310	lineageweapons.hand_axe_m00_wp|lineageweaponstex.hand_axe_t00_wp	weapon
157	157,8823,8984,12311,12312,12313,12314	lineageweapons.spike_club_m00_wp|lineageweaponstex.spike_club_t00_wp	weapon
158	158,12315,12316,12317,12318	lineageweapons.tarbar_m00_wp|lineageweaponstex.tarbar_t00_wp	weapon
159	159,12319,12320,12321,12322	lineageweapons.bonebreaker_m00_wp|lineageweaponstex.bonebreaker_t00_wp	weapon
160	160,12323,12324,12325	lineageweapons.battle_axe_m00_wp|lineageweaponstex.battle_axe_t00_wp	weapon
161	161,12326,12327,12328	lineageweapons.war_pick_m00_wp|lineageweaponstex.war_pick_t00_wp	weapon
162	162,163,170,12329,12330,12331,12332,12333,12351	lineageweapons.war_axe_m00_wp|lineageweaponstex.war_axe_t00_wp	weapon
164	164,9023,12334	lineageweapons.elysian_m00_wp|lineageweaponstex.elysian_t00_wp	weapon
165	165,6365	lineageweapons.basalt_battlehammer_m00_wp|lineageweaponstex.basalt_battlehammer_t00_wp	weapon
166	166,12335,12336,12337,12338	lineageweapons.heavy_mace_m00_wp|lineageweaponstex.heavy_mace_t00_wp	weapon
167	167,12339,12340,12341,12342	lineageweapons.scalpel_m00_wp|lineageweaponstex.scalpel_t00_wp	weapon
168	168,12343,12344,12345,12346	lineageweapons.work_hammer_m00_wp|lineageweaponstex.work_hammer_t00_wp	weapon
169	169,12347,12348,12349,12350	lineageweapons.skull_breaker_m00_wp|lineageweaponstex.skull_breaker_t00_wp	weapon
171	171,12352,12353	lineageweapons.deadmans_glory_m00_wp|lineageweaponstex.deadmans_glory_t00_wp	weapon
172	172,12354,12355,12356,12357	lineageweapons.heavy_bone_club_m00_wp|lineageweaponstex.heavy_bone_club_t00_wp	weapon
173	173,12358,12359,12360	lineageweapons.skull_graver_m00_wp|lineageweaponstex.skull_graver_t00_wp	weapon
174	174,12361,12362,12363	lineageweapons.nirvana_axe_m00_wp|lineageweaponstex.nirvana_axe_t00_wp	weapon
175	175,7834,12364,12365,13647,13648	lineageweapons.art_of_battle_axe_m00_wp|lineageweaponstex.art_of_battle_axe_t00_wp	weapon
176	176,177,178,207,208,209,211,749,1304,2373,6355,7816,8576,8977,12366,12367,12368,12369,12370,12371,12372,12373,12374,12375,12376,12377,12378,12379,12476,12477,12478,12479,12480,12481,12484,12485,12896,12897,12898,12899,12990,12991,12992,12993,12994,13066,13067,13068,13069,13070,13567,13568,13569,13570,13571,13577,13578,13579,13580,13581	lineageweapons.apprentices_staff_m00_wp|lineageweaponstex.apprentices_staff_t00_wp	weapon
179	179,7822,8582,12380,12381,12382,12383,13607,13608,13609,13610	lineageweapons.mace_of_prayer_m00_wp|lineageweaponstex.mace_of_prayer_t00_wp	weapon
180	180,12384,12385,12386,12387	lineageweapons.mace_of_judgment_m00_wp|lineageweaponstex.mace_of_judgment_t00_wp	weapon
181	181,12388,12389,12390,12391	lineageweapons.mace_of_miracle_m00_wp|lineageweaponstex.mace_of_miracle_t00_wp	weapon
182	182,12392,12393,12394,12395	lineageweapons.doom_hammer_m00_wp|lineageweaponstex.doom_hammer_t00_wp	weapon
183	183,12396,12397,12398,12399	lineageweapons.mystic_staff_m00_wp|lineageweaponstex.mystic_staff_t00_wp	weapon
184	184,12400,12401,12402,12403	lineageweapons.conjure_staff_m00_wp|lineageweaponstex.conjure_staff_t00_wp	weapon
185	185,7825,8585,12404,12405,12406,12407,13619,13620,13621,13622	lineageweapons.staff_of_mana_m00_wp|lineageweaponstex.staff_of_mana_t00_wp	weapon
186	186,8824,8985,12408,12409,12410,12411	lineageweapons.staff_of_magicpower_m00_wp|lineageweaponstex.staff_of_magicpower_t00_wp	weapon
187	187,12412,12413,12414,12415	lineageweapons.atuba_hammer_m00_wp|lineageweaponstex.atuba_hammer_t00_wp	weapon
188	188,12416,12417,12418,12419	lineageweapons.ghost_staff_m00_wp|lineageweaponstex.ghost_staff_t00_wp	weapon
189	189,12420,12421,12422,12423	lineageweapons.life_stick_m00_wp|lineageweaponstex.life_stick_t00_wp	weapon
190	190,12424,12425,12426,12427	lineageweapons.atuba_mace_m00_wp|lineageweaponstex.atuba_mace_t00_wp	weapon
191	191,12428,12429,12430	lineageweapons.heavy_doom_hammer_m00_wp|lineageweaponstex.heavy_doom_hammer_t00_wp	weapon
192	192,12431,12432,12433	lineageweapons.crystal_staff_m00_wp|lineageweaponstex.crystal_staff_t00_wp	weapon
193	193,12434,12435,12436	lineageweapons.stick_of_faith_m00_wp|lineageweaponstex.stick_of_faith_t00_wp	weapon
194	194,12437,12438,12439	lineageweapons.heavy_doom_axe_m00_wp|lineageweaponstex.heavy_doom_axe_t00_wp	weapon
195	195,8832,12440,12441,12442	lineageweapons.cursed_staff_m00_wp|lineageweaponstex.cursed_staff_t00_wp	weapon
196	196,8841,8928,8993,12443,12444,12445	lineageweapons.stick_of_eternity_m00_wp|lineageweaponstex.stick_of_eternity_t00_wp	weapon
197	197,12446,12447,12448	lineageweapons.paradia_staff_m00_wp|lineageweaponstex.paradia_staff_t00_wp	weapon
198	198,8842,8929,8994,12449,12450,12451	lineageweapons.inferno_staff_m00_wp|lineageweaponstex.inferno_staff_t00_wp	weapon
199	199,8843,8930,8995,12452,12453,12454	lineageweapons.paagrio_hammer_m00_wp|lineageweaponstex.paagrio_hammer_t00_wp	weapon
200	200,12455,12456,12457	lineageweapons.sages_staff_m00_wp|lineageweaponstex.sages_staff_t00_wp	weapon
201	201,12458,12459,12460	lineageweapons.club_of_nature_m00_wp|lineageweaponstex.club_of_nature_t00_wp	weapon
202	202,12461,12462,12463	lineageweapons.mace_of_underworld_m00_wp|lineageweaponstex.mace_of_underworld_t00_wp	weapon
203	203,12464,12465,12466	lineageweapons.paagrio_axe_m00_wp|lineageweaponstex.paagrio_axe_t00_wp	weapon
204	204,12467,12468,12469	lineageweapons.deadmans_staff_m00_wp|lineageweaponstex.deadmans_staff_t00_wp	weapon
205	205,12470,12471,12472	lineageweapons.ghouls_staff_m00_wp|lineageweaponstex.ghouls_staff_t00_wp	weapon
206	206,12473,12474,12475	lineageweapons.demons_staff_m00_wp|lineageweaponstex.demons_staff_t00_wp	weapon
210	210,4900,12482,12483,13467,13468	lineageweapons.staff_of_evil_sprit_m00_wp|lineageweaponstex.staff_of_evil_sprit_t00_wp	weapon
212	212,4903,4904,4905,8861,9013,12486,13469,13470,13471	lineageweapons.dasparions_staff_m00_wp|lineageweaponstex.dasparions_staff_t00_wp	weapon
213	213,9024,12487	lineageweapons.worldtrees_branch_m00_wp|lineageweaponstex.worldtrees_branch_t00_wp	weapon
214	214,6366	lineageweapons.imperial_staff_m00_wp|lineageweaponstex.imperial_staff_t00_wp	weapon
215	215,2372,2374,3471,12488,12489,12490,12491,12492,13061,13062,13063,13064,13065,13071,13072,13073,13074,13075,13425,13426,13427,13428,13429	lineageweapons.doomed_dagger_m00_wp|lineageweaponstex.doomed_dagger_t00_wp	weapon
216	216,222,7830,8590,12493,12494,12495,12496,12497,12521,12522,12523,12524,13639,13640,13641,13642	lineageweapons.dirk_m00_wp|lineageweaponstex.dirk_t00_wp	weapon
217	217,7818,8578,12498,12499,12500,12501,12502,13587,13588,13589,13590,13591	lineageweapons.shining_knife_m00_wp|lineageweaponstex.shining_knife_t00_wp	weapon
218	218,12503,12504,12505,12506,12507	lineageweapons.throw_knife_m00_wp|lineageweaponstex.throw_knife_t00_wp	weapon
219	219,8978,12508,12509,12510,12511,12512	lineageweapons.sword_breaker_m00_wp|lineageweaponstex.sword_breaker_t00_wp	weapon
220	220,12513,12514,12515,12516	lineageweapons.handiwork_dagger_m00_wp|lineageweaponstex.handiwork_dagger_t00_wp	weapon
221	221,4220,12517,12518,12519,12520	lineageweapons.assassin_knife_m00_wp|lineageweaponstex.assassin_knife_t00_wp	weapon
8825	8825,8986,12525,12526,12527,12528	lineageweapons.kukuri_m00_wp|lineageweaponstex.kukuri_t00_wp	weapon
224	224,1660,12529,12530,12531,12532,13037,13038,13039,13040	lineageweapons.maingauche_m00_wp|lineageweaponstex.maingauche_t00_wp	weapon
225	225,12533,12534,12535,12536	lineageweapons.mithril_dagger_m00_wp|lineageweaponstex.mithril_dagger_t00_wp	weapon
226	226,12537,12538,12539	lineageweapons.cursed_dagger_m00_wp|lineageweaponstex.cursed_dagger_t00_wp	weapon
227	227,8833,12540,12541,12542	lineageweapons.stiletto_m00_wp|lineageweaponstex.stiletto_t00_wp	weapon
229	229,8854,9006,12546,12547	lineageweapons.kris_m00_wp|lineageweaponstex.kris_t00_wp	weapon
231	231,12551,12552,12553	lineageweapons.grace_dagger_m00_wp|lineageweaponstex.grace_dagger_t00_wp	weapon
232	232,12554,12555,12556	lineageweapons.darkelven_dagger_m00_wp|lineageweaponstex.darkelven_dagger_t00_wp	weapon
233	233,8844,8931,8996,12557,12558,12559	lineageweapons.dark_screamer_m00_wp|lineageweaponstex.dark_screamer_t00_wp	weapon
234	234,12560,12561	lineageweapons.demons_sword_m00_wp|lineageweaponstex.demons_sword_t00_wp	weapon
235	235,8862,9014,12562	lineageweapons.bloody_orchid_m00_wp|lineageweaponstex.bloody_orchid_t00_wp	weapon
236	236,9025,12563	lineageweapons.soul_separator_m00_wp|lineageweaponstex.soul_separator_t00_wp	weapon
237	237,6367	lineageweapons.angel_slayer_m00_wp|lineageweaponstex.angel_slayer_t00_wp	weapon
238	238,8826,8987,12564,12565,12566,12567	lineageweapons.dagger_of_mana_m00_wp|lineageweaponstex.dagger_of_mana_t00_wp	weapon
239	239,12568,12569,12570,12571	lineageweapons.mystic_knife_m00_wp|lineageweaponstex.mystic_knife_t00_wp	weapon
241	241,12576,12577,12578,12579	lineageweapons.knife_o'_silenus_m00_wp|lineageweaponstex.knife_o'_silenus_t00_wp	weapon
242	242,8834,12580,12581,12582	lineageweapons.dagger_of_magicflame_m00_wp|lineageweaponstex.dagger_of_magicflame_t00_wp	weapon
243	243,12583,12584	lineageweapons.hell_knife_m00_wp|lineageweaponstex.hell_knife_t00_wp	weapon
244	244	id:244	weapon
245	245	id:245	weapon
246	246	id:246	weapon
247	247	id:247	weapon
248	248	id:248	weapon
249	249	id:249	weapon
250	250	id:250	weapon
251	251	id:251	weapon
252	252	id:252	weapon
253	253,12585,12586,12587,12588,12589	lineageweapons.spike_glove_m00_wp|lineageweapons.spike_glove_m00_wp|lineageweaponstex.spike_glove_t00_wp|lineageweaponstex.spike_glove_t00_wp	weapon
254	254,2371,12590,12591,12592,12593,12594,13056,13057,13058,13059,13060	lineageweapons.iron_glove_m00_wp|lineageweapons.iron_glove_m00_wp|lineageweaponstex.iron_glove_t00_wp|lineageweaponstex.iron_glove_t00_wp	weapon
255	255,12595,12596,12597,12598,12599	lineageweapons.foxs_nail_m00_wp|lineageweapons.foxs_nail_m00_wp|lineageweaponstex.foxs_nail_t00_wp|lineageweaponstex.foxs_nail_t00_wp	weapon
256	256,257,7819,8579,8979,12600,12601,12602,12603,12604,12605,12606,12607,12608,12609,13592,13593,13594,13595,13596	lineageweapons.vipers_canine_m00_wp|lineageweapons.vipers_canine_m00_wp|lineageweaponstex.vipers_canine_t00_wp|lineageweaponstex.vipers_canine_t00_wp	weapon
258	258,7828,8588,12610,12611,12612,12613,13631,13632,13633,13634	lineageweapons.baghnakh_m00_wp|lineageweapons.baghnakh_m00_wp|lineageweaponstex.baghnakh_t00_wp|lineageweaponstex.baghnakh_t00_wp	weapon
259	259,12614,12615,12616,12617	lineageweapons.single-edged_jamadhr_m00_wp|lineageweapons.single-edged_jamadhr_m00_wp|lineageweaponstex.single-edged_jamadhr_t00_wp|lineageweaponstex.single-edged_jamadhr_t00_wp	weapon
260	260,8827,8988,12618,12619,12620,12621	lineageweapons.triple-edged_jamadhr_m00_wp|lineageweapons.triple-edged_jamadhr_m00_wp|lineageweaponstex.triple-edged_jamadhr_t00_wp|lineageweaponstex.triple-edged_jamadhr_t00_wp	weapon
261	261,12622,12623,12624,12625	lineageweapons.bichhwa_m00_wp|lineageweapons.bichhwa_m00_wp|lineageweaponstex.bichhwa_t00_wp|lineageweaponstex.bichhwa_t00_wp	weapon
262	262,12626,12627,12628,12629	lineageweapons.scallop_jamadhr_m00_wp|lineageweapons.scallop_jamadhr_m00_wp|lineageweaponstex.scallop_jamadhr_t00_wp|lineageweaponstex.scallop_jamadhr_t00_wp	weapon
263	263,264,12630,12631,12632,12633,12634	lineageweapons.chakram_m00_wp|lineageweapons.chakram_m00_wp|lineageweaponstex.chakram_t00_wp|lineageweaponstex.chakram_t00_wp	weapon
265	265,8847,8934,8999,12635,12636,12637	lineageweapons.fist_blade_m00_wp|lineageweapons.fist_blade_m00_wp|lineageweaponstex.fist_blade_t00_wp|lineageweaponstex.fist_blade_t00_wp	weapon
266	266,12638,12639,12640	lineageweapons.great_pata_m00_wp|lineageweapons.great_pata_m00_wp|lineageweaponstex.great_pata_t00_wp|lineageweaponstex.great_pata_t00_wp	weapon
267	267,8855,9007,12641,12642	lineageweapons.arthro_nail_m00_wp|lineageweapons.arthro_nail_m00_wp|lineageweaponstex.arthro_nail_t00_wp|lineageweaponstex.arthro_nail_t00_wp	weapon
268	268,12643,12644	lineageweapons.bellion_cestus_m00_wp|lineageweapons.bellion_cestus_m00_wp|lineageweaponstex.bellion_cestus_t00_wp|lineageweaponstex.bellion_cestus_t00_wp	weapon
269	269,8863,9015,12645	lineageweapons.blood_tornado_m00_wp|lineageweapons.blood_tornado_m00_wp|lineageweaponstex.blood_tornado_t00_wp|lineageweaponstex.blood_tornado_t00_wp	weapon
270	270,9026,12646	lineageweapons.dragon_grinder_m00_wp|lineageweapons.dragon_grinder_m00_wp|lineageweaponstex.dragon_grinder_t00_wp|lineageweaponstex.dragon_grinder_t00_wp	weapon
271	271,12647,12648,12649,12650,12651	lineageweapons.hunting_bow_m00_wp|lineageweaponstex.hunting_bow_t00_wp	weapon
272	272,7820,8580,12652,12653,12654,12655,12656,13597,13598,13599,13600,13601	lineageweapons.bow_of_forest_m00_wp|lineageweaponstex.bow_of_forest_t00_wp	weapon
