weapon	class	from	NG	D	C	B	A	S
Dwarven Mace	BLUNT_P	NG	154					
Buzdygan	BLUNT_P	NG	155					
Hand Axe	BLUNT_P	D		156	12162	12163	12164	12165
Spiked Club	BLUNT_P	D		157	12166	12167	12168	12169
Tarbar	BLUNT_P	D		158	12170	12171	12172	12173
Bonebreaker	BLUNT_P	D		159	12174	12175	12176	12177
Battle Axe	BLUNT_P	C			160	12178	12179	12180
Silver Axe	BLUNT_P	C			161	12181	12182	12183
War Axe	BLUNT_P	C			162	12184	12185	12186
_	BLUNT_P	B				163	12187	12188
Elysian	BLUNT_P	A					164	12189
Yablonski's Hammer	BLUNT_P	S						165
Heavy Mace	BLUNT_P	D		166	12190	12191	12192	12193
Scalpel	BLUNT_P	D		167	12194	12195	12196	12197
Work Hammer	BLUNT_P	D		168	12198	12199	12200	12201
Skull Breaker	BLUNT_P	D		169	12202	12203	12204	12205
_	BLUNT_P	A					170	12206
Deadman's Glory	BLUNT_P	B				171	12207	12208
Heavy Bone Club	BLUNT_P	D		172	12209	12210	12211	12212
Skull Graver	BLUNT_P	C			173	12213	12214	12215
Nirvana Axe	BLUNT_M	C			174	12216	12217	12218
Art of Battle Axe	BLUNT_P	B				175	12219	12220
Journeyman's Staff	BIGBLUNT_M	NG	176					
Mage Staff	BIGBLUNT_M	NG	177					
Bone Staff	BIGBLUNT_M	D		178	12221	12222	12223	12224
Mace of Prayer	BLUNT_M	D		179	12225	12226	12227	12228
Mace of Judgment	BLUNT_M	D		180	12229	12230	12231	12232
Mace of Miracle	BLUNT_M	D		181	12233	12234	12235	12236
Doom Hammer	BLUNT_M	D		182	12237	12238	12239	12240
Mystic Staff	BIGBLUNT_M	D		183	12241	12242	12243	12244
Conjuror's Staff	BIGBLUNT_M	D		184	12245	12246	12247	12248
Staff of Mana	BIGBLUNT_M	D		185	12249	12250	12251	12252
Staff of Magic	BIGBLUNT_M	D		186	12253	12254	12255	12256
Atuba Hammer	BIGBLUNT_M	D		187	12257	12258	12259	12260
Ghost Staff	BIGBLUNT_M	D		188	12261	12262	12263	12264
Staff of Life	BLUNT_M	D		189	12265	12266	12267	12268
Atuba Mace	BIGBLUNT_M	D		190	12269	12270	12271	12272
Heavy Doom Hammer	BIGBLUNT_M	C			191	12273	12274	12275
Crystal Staff	BIGBLUNT_M	C			192	12276	12277	12278
Stick of Faith	BLUNT_M	C			193	12279	12280	12281
Heavy Doom Axe	BIGBLUNT_M	C			194	12282	12283	12284
Cursed Staff	BIGBLUNT_M	C			195	12285	12286	12287
Stick of Eternity	BLUNT_M	C			196	12288	12289	12290
Paradia Staff	BIGBLUNT_M	C			197	12291	12292	12293
Inferno Staff	BIGBLUNT_M	C			198	12294	12295	12296
Pa'agrian Hammer	BIGBLUNT_M	C			199	12297	12298	12299
Sage's Staff	BIGBLUNT_M	C			200	12300	12301	12302
Club of Nature	BLUNT_M	C			201	12303	12304	12305
Mace of The Underworld	BLUNT_M	C			202	12306	12307	12308
Pa'agrian Axe	BIGBLUNT_M	C			203	12309	12310	12311
Deadman's Staff	BIGBLUNT_M	C			204	12312	12313	12314
Ghoul's Staff	BIGBLUNT_M	C			205	12315	12316	12317
Demon's Staff	BIGBLUNT_M	C			206	12318	12319	12320
Staff of Phantom	BIGBLUNT_M	B				207	12321	12322
Staff of Seal	BIGBLUNT_M	B				208	12323	12324
Divine Staff	BIGBLUNT_M	B				209	12325	12326
Staff of Evil Spirits	BIGBLUNT_M	B				210	12327	12328
Staff of Nobility	BIGBLUNT_M	B				211	12329	12330
Dasparion's Staff	BIGBLUNT_M	A					212	12331
Branch of The Mother Tree	BIGBLUNT_M	A					213	12332
The Staff	BIGBLUNT_M	S						214
Doom Dagger	DAGGER_P	NG	215					
Dirk	DAGGER_P	NG	216					
Shining Knife	DAGGER_P	NG	217					
Throwing Knife	DAGGER_P	NG	218					
Sword Breaker	DAGGER_P	NG	219					
Crafted Dagger	DAGGER_P	D		220	12333	12334	12335	12336
Assassin Knife	DAGGER_P	D		221	12337	12338	12339	12340
Poniard Dagger	DAGGER_P	D		222	12341	12342	12343	12344
Kukuri	DAGGER_P	D		223	12345	12346	12347	12348
Maingauche	DAGGER_P	D		224	12349	12350	12351	12352
Mithril Dagger	DAGGER_P	D		225	12353	12354	12355	12356
Cursed Dagger	DAGGER_P	C			226	12357	12358	12359
Stiletto	DAGGER_P	C			227	12360	12361	12362
Crystal Dagger	DAGGER_P	C			228	12363	12364	12365
Kris	DAGGER_P	B				229	12366	12367
Wolverine Needle	DAGGER_P	C			230	12368	12369	12370
Grace Dagger	DAGGER_P	C			231	12371	12372	12373
Dark Elven Dagger	DAGGER_P	C			232	12374	12375	12376
Dark Screamer	DAGGER_P	C			233	12377	12378	12379
Demon Dagger	DAGGER_P	B				234	12380	12381
Bloody Orchid	DAGGER_P	A					235	12382
Soul Separator	DAGGER_P	A					236	12383
Dragon's Tooth	DAGGER_P	S						237
Dagger of Mana	DAGGER_M	D		238	12384	12385	12386	12387
Mystic Knife	DAGGER_M	D		239	12388	12389	12390	12391
Shilen Knife	DAGGER_M	D		241	12392	12393	12394	12395
Soulfire Dirk	DAGGER_M	C			242	12396	12397	12398
Hell Knife	DAGGER_M	B				243	12399	12400
Spiked Gloves	DUALFIST	NG	253					
Iron Gloves	DUALFIST	NG	254					
Fox Claw Gloves	DUALFIST	NG	255					
Cestus	DUALFIST	NG	256					
Viper's Fang	DUALFIST	NG	257					
Bagh-Nakh	DUALFIST	D		258	12401	12402	12403	12404
Single-Edged Jamadhr	DUALFIST	D		259	12405	12406	12407	12408
Triple-Edged Jamadhr	DUALFIST	D		260	12409	12410	12411	12412
Bich'Hwa	DUALFIST	D		261	12413	12414	12415	12416
Scallop Jamadhr	DUALFIST	D		262	12417	12418	12419	12420
Chakram	DUALFIST	C			263	12421	12422	12423
Pata	DUALFIST	B				264	12424	12425
Fisted Blade	DUALFIST	C			265	12426	12427	12428
Great Pata	DUALFIST	C			266	12429	12430	12431
Arthro Nail	DUALFIST	B				267	12432	12433
Bellion Cestus	DUALFIST	B				268	12434	12435
Blood Tornado	DUALFIST	A					269	12436
Dragon Grinder	DUALFIST	A					270	12437
Hunting Bow	BOW	NG	271					
Forest Bow	BOW	NG	272					
Composition Bow	BOW	NG	273					
Strengthened Bow	BOW	D		274	12438	12439	12440	12441
Long Bow	BOW	D		275	12442	12443	12444	12445
Elven Bow	BOW	D		276	12446	12447	12448	12449
Dark Elven Bow	BOW	D		277	12450	12451	12452	12453
Gastraphetes	BOW	D		278	12454	12455	12456	12457
Strengthened Long Bow	BOW	D		279	12458	12459	12460	12461
Light Crossbow	BOW	D		280	12462	12463	12464	12465
Crystallized Ice Bow	BOW	C			281	12466	12467	12468
Elemental Bow	BOW	C			282	12469	12470	12471
Akat Long Bow	BOW	C			283	12472	12473	12474
Dark Elven Long Bow	BOW	B				284	12475	12476
Noble Elven Bow	BOW	C			285	12477	12478	12479
Eminence Bow	BOW	C			286	12480	12481	12482
Bow of Peril	BOW	B				287	12483	12484
Carnage Bow	BOW	A					288	12485
Soul Bow	BOW	A					289	12486
The Bow	BOW	S						290
Trident	POLE	D		291	12487	12488	12489	12490
Pike	POLE	D		292	12491	12492	12493	12494
War Hammer	POLE	D		293	12495	12496	12497	12498
War Pick	POLE	D		294	12499	12500	12501	12502
Dwarven Trident	POLE	D		295	12503	12504	12505	12506
Dwarven Pike	POLE	D		296	12507	12508	12509	12510
Glaive	POLE	D		297	12511	12512	12513	12514
Orcish Glaive	POLE	C			298	12515	12516	12517
Orcish Poleaxe	POLE	C			299	12518	12519	12520
Great Axe	POLE	B				300	12521	12522
Scorpion	POLE	C			301	12523	12524	12525
Body Slasher	POLE	C			302	12526	12527	12528
Widow Maker	POLE	C			303	12529	12530	12531
Orcish Halberd	POLE	A					304	12532
Tallum Glaive	POLE	A					305	12533
Dragon Claw Axe	POLE	S						306
Aurakyria Lance	POLE	S						307
Buffalo's Horn	ETC_M	NG	308					
Tears of Eva	ETC_M	NG	309					
Relic of The Saints	ETC_M	NG	310					
Crucifix of Blessing	ETC_M	NG	311					
Branch of Life	ETC_M	D		312	12534	12535	12536	12537
Temptation of Abyss	ETC_M	D		313	12538	12539	12540	12541
Proof of Revenge	ETC_M	D		314	12542	12543	12544	12545
Divine Tome	ETC_M	D		315	12546	12547	12548	12549
Blood of Saints	ETC_M	D		316	12550	12551	12552	12553
Tome of Blood	ETC_M	D		317	12554	12555	12556	12557
Crucifix of Blood	ETC_M	D		318	12558	12559	12560	12561
Eye of Infinity	ETC_M	D		319	12562	12563	12564	12565
Blue Crystal Skull	ETC_M	D		320	12566	12567	12568	12569
Demon Fangs	ETC_M	D		321	12570	12571	12572	12573
Vajra Wands	ETC_M	D		322	12574	12575	12576	12577
Ancient Reagent	ETC_M	D		323	12578	12579	12580	12581
Tears of Fairy	ETC_M	C			324	12582	12583	12584
Horn of Glory	ETC_M	C			325	12585	12586	12587
Heathen's Book	ETC_M	C			326	12588	12589	12590
Hex Doll	ETC_M	C			327	12591	12592	12593
Candle of Wisdom	ETC_M	C			328	12594	12595	12596
Blessed Branch	ETC_M	C			329	12597	12598	12599
Phoenix Feather	ETC_M	C			330	12600	12601	12602
Cerberus Eye	ETC_M	C			331	12603	12604	12605
Scroll of Destruction	ETC_M	C			332	12606	12607	12608
Claws of Black Dragon	ETC_M	C			333	12609	12610	12611
Three Eyed Crow's Feather	ETC_M	C			334	12612	12613	12614
Soul Crystal	ETC_M	B				335	12615	12616
Scroll of Mana	ETC_M	B				336	12617	12618
Scroll of Massacre	ETC_M	B				337	12619	12620
Wyvern's Skull	ETC_M	B				338	12621	12622
Blood Crystal	ETC_M	B				339	12623	12624
Unicorn's Horn	ETC_M	B				340	12625	12626
Forgotten Tome	ETC_M	A					341	12627
Enchanted Flute	ETC_M	A					342	12628
Headless Arrow	ETC_M	A					343	12629
Proof of Overlord	ETC_M	A					344	12630
Deathbringer Sword	ETC_M	A					345	12631
Tears of Fallen Angel	ETC_M	S						346
Sword of Solidarity	SWORD_P	NG	738					
Sword of Sentinel	SWORD_P	NG	743					
Staff of Sentinel	BIGBLUNT_M	NG	744					
Wand of Adept	BLUNT_M	NG	747					
0	BIGBLUNT_P	D		749	12632	12633	12634	12635
Red Sunset Staff	BIGBLUNT_M	NG	754					
Skeleton Dagger	DAGGER_P	NG	946					
Blood Saber	SWORD_P	NG	975					
Red Sunset Sword	BIGSWORD	NG	981					
Eldritch Dagger	DAGGER_P	NG	989					
Rusted Bronze Sword	SWORD_P	NG	1142					
Neti's Bow	BOW	NG	1181					
Neti's Dagger	DAGGER_P	NG	1182					
Guard's Bow	BOW	NG	1213					
Long Sword	SWORD_P	NG	1295					
Gladius	SWORD_P	NG	1296					
Bastard Sword	SWORD_P	NG	1297					
Caliburs	SWORD_P	NG	1298					
Great Sword	DUAL	NG	1299					
Apprentice's Rod	BLUNT_P	NG	1300					
Big Hammer	BLUNT_P	NG	1301					
Bec de Corbin	POLE	NG	1302					
Lance	POLE	NG	1303					
Conjuror's Staff	BIGBLUNT_P	NG	1304					
Knife	DAGGER_P	NG	1305					
Crafted Dagger	DAGGER_P	NG	1306					
Bow	BOW	NG	1307					
Brandish	BIGSWORD	NG	1333					
Guard Spear	POLE	D		1376	12636	12637	12638	12639
Silenos Blowgun	DAGGER_P	D		1471	12640	12641	12642	12643
Dreadbane	POLE	D		1472	12644	12645	12646	12647
Butcher's Sword	SWORD_P	NG	1510					
Silversmith Hammer	BLUNT_P	NG	1511					
Cursed Maingauche	DAGGER_P	D		1660	12648	12649	12650	12651
Training Gloves	DUALFIST	NG	2368					
Squire's Sword	SWORD_P	NG	2369					
Guild Member's Club	BLUNT_P	NG	2370					
Fist of Butcher	DUALFIST	NG	2371					
Dagger of Adept	DAGGER_P	NG	2372					
Eldritch Staff	BIGBLUNT_M	NG	2373					
Red Sunset Dagger	DAGGER_P	NG	2374					
Elven Long Sword	SWORD_P	D		2499	12652	12653	12654	12655
Dark Legion's Edge	SWORD_P	A					2500	12656
Bone Club	BLUNT_P	NG	2501					
Dwarven War Hammer	BLUNT_P	C			2502	12657	12658	12659
Yaksa Mace	BLUNT_P	C			2503	12660	12661	12662
Meteor Shower	BLUNT_P	A					2504	12663
Bastard Sword*Bastard Sword	DUAL	D		2525	12664	12665	12666	12667
Bastard Sword*Spinebone Sword	DUAL	D		2526	12668	12669	12670	12671
Bastard Sword*Artisan's Sword	DUAL	D		2527	12672	12673	12674	12675
Bastard Sword*Knight's Sword	DUAL	D		2528	12676	12677	12678	12679
Bastard Sword*Elven Sword	DUAL	D		2530	12680	12681	12682	12683
Bastard Sword*Sword of Revolution	DUAL	C			2531	12684	12685	12686
Bastard Sword*Elven Long Sword	DUAL	C			2532	12687	12688	12689
Spinebone Sword*Spinebone Sword	DUAL	D		2533	12690	12691	12692	12693
Spinebone Sword*Artisan's Sword	DUAL	D		2534	12694	12695	12696	12697
Spinebone Sword*Knight's Sword	DUAL	D		2535	12698	12699	12700	12701
Spinebone Sword*Elven Sword	DUAL	D		2537	12702	12703	12704	12705
Spinebone Sword*Sword of Revolution	DUAL	C			2538	12706	12707	12708
Spinebone Sword*Elven Long Sword	DUAL	C			2539	12709	12710	12711
Artisan's Sword*Artisan's Sword	DUAL	D		2540	12712	12713	12714	12715
Artisan's Sword*Knight's Sword	DUAL	D		2541	12716	12717	12718	12719
Artisan's Sword*Elven Sword	DUAL	D		2543	12720	12721	12722	12723
Artisan's Sword*Sword of Revolution	DUAL	C			2544	12724	12725	12726
Artisan's Sword*Elven Long Sword	DUAL	C			2545	12727	12728	12729
Knight's Sword*Knight's Sword	DUAL	D		2546	12730	12731	12732	12733
Knight's Sword*Elven Sword	DUAL	D		2548	12734	12735	12736	12737
Knight's Sword*Sword of Revolution	DUAL	C			2549	12738	12739	12740
Knight's Sword*Elven Long Sword	DUAL	C			2550	12741	12742	12743
Elven Sword*Elven Sword	DUAL	C			2555	12744	12745	12746
Elven Sword*Sword of Revolution	DUAL	C			2556	12747	12748	12749
Elven Sword*Elven Long Sword	DUAL	C			2557	12750	12751	12752
Sword of Revolution*Sword of Revolution	DUAL	C			2558	12753	12754	12755
Sword of Revolution*Elven Long Sword	DUAL	C			2559	12756	12757	12758
Elven Long Sword*Elven Long Sword	DUAL	C			2560	12759	12760	12761
Stormbringer*Stormbringer	DUAL	C			2561	12762	12763	12764
Stormbringer*Spirit Sword	DUAL	C			2564	12765	12766	12767
Stormbringer*Raid Sword	DUAL	C			2565	12768	12769	12770
Stormbringer*Caliburs	DUAL	B				2566	12771	12772
Stormbringer*Sword of Limit	DUAL	B				2567	12773	12774
Stormbringer*Sword of Nightmare	DUAL	B				2569	12775	12776
Stormbringer*Tsurugi	DUAL	B				2570	12777	12778
Stormbringer*Samurai Long sword	DUAL	B				2571	12779	12780
Spirit Sword*Spirit Sword	DUAL	C			2591	12781	12782	12783
Spirit Sword*Raid Sword	DUAL	C			2592	12784	12785	12786
Spirit Sword*Caliburs	DUAL	B				2593	12787	12788
Spirit Sword*Sword of Limit	DUAL	B				2594	12789	12790
Spirit Sword*Sword of Nightmare	DUAL	B				2596	12791	12792
Spirit Sword*Tsurugi	DUAL	B				2597	12793	12794
Spirit Sword*Samurai Long Sword	DUAL	B				2598	12795	12796
Raid Sword*Raid Sword	DUAL	C			2599	12797	12798	12799
Raid Sword*Caliburs	DUAL	B				2600	12800	12801
Raid Sword*Sword of Limit	DUAL	B				2601	12802	12803
Raid Sword*Sword of Nightmare	DUAL	B				2603	12804	12805
Raid Sword*Tsurugi	DUAL	B				2604	12806	12807
Raid Sword*Samurai Long Sword	DUAL	B				2605	12808	12809
Caliburs*Caliburs	DUAL	B				2606	12810	12811
Caliburs*Sword of Limit	DUAL	B				2607	12812	12813
Caliburs*Sword of Nightmare	DUAL	B				2609	12814	12815
Caliburs*Tsurugi	DUAL	B				2610	12816	12817
Caliburs*Samurai Long Sword	DUAL	B				2611	12818	12819
Sword of Limit*Sword of Limit	DUAL	B				2612	12820	12821
Sword of Limit*Sword of Nightmare	DUAL	B				2614	12822	12823
Sword of Limit*Tsurugi	DUAL	B				2615	12824	12825
Sword of Limit*Samurai Long Sword	DUAL	B				2616	12826	12827
Sword of Nightmare*Sword of Nightmare	DUAL	B				2621	12828	12829
Sword of Nightmare*Tsurugi	DUAL	B				2622	12830	12831
Sword of Nightmare*Samurai Long Sword	DUAL	B				2623	12832	12833
Tsurugi*Tsurugi	DUAL	B				2624	12834	12835
Tsurugi*Samurai Long Sword	DUAL	B				2625	12836	12837
Samurai Long Sword*Samurai Long Sword	DUAL	B				2626	12838	12839
Old Knight Sword	SWORD_P	NG	2915					
Talins Spear	POLE	NG	3026					
Old Knight's Sword	BIGSWORD	NG	3027					
Crescent Moon Bow	BOW	NG	3028					
Sword of Binding	SWORD_P	NG	3029					
Cybellin's Dagger	DAGGER_P	NG	3471					
Giant Bar	POLE	D		3937	12840	12841	12842	12843
Giant Rod	POLE	D		3938	12844	12845	12846	12847
Lady's Fan	POLE	D		3939	12848	12849	12850	12851
Bouquet	SWORD_P	NG	4027					
Giant Cannon	DAGGER_P	D		4028	12852	12853	12854	12855
Chrono Cithara	SWORD_P	NG	4202					
Knuckle Duster	DUALFIST	C			4233	12856	12857	12858
Pipette Knife	DAGGER_P	NG	4665					
Sword of Delusion - Health	SWORD_P	C			4700	12859	12860	12861
Staff of Evil Spirits - Magic Focus	BIGBLUNT_M	B				4900	12862	12863
Dailaon Knife	DAGGER_P	D		5127	12864	12865	12866	12867
Crokian Blade	DAGGER_P	D		5128	12868	12869	12870	12871
Doll Knife	DUAL	D		5129	12872	12873	12874	12875
Nos Sword	DAGGER_P	D		5130	12876	12877	12878	12879
Parhit Staff	DAGGER_P	D		5131	12880	12881	12882	12883
Giant Trident	DAGGER_P	D		5132	12884	12885	12886	12887
Chrono Unitus	DUALFIST	NG	5133					
Keshanberk*Keshanberk	DUAL	A					5233	12888
Zweihander	BIGSWORD	NG	5284					
Heavy Sword	BIGSWORD	D		5285	12889	12890	12891	12892
Berserker Blade	BIGSWORD	C			5286	12893	12894	12895
Keshanberk*Damascus	DUAL	A					5705	12896
Damascus*Damascus	DUAL	A					5706	12897
Tomb Guard A	BIGSWORD	D		5791	12898	12899	12900	12901
Tomb Guard B	BIGSWORD	D		5792	12902	12903	12904	12905
Tomb Savant A	SWORD_P	C			5793	12906	12907	12908
Tomb Savant B	SWORD_P	C			5794	12909	12910	12911
Tomb Guard A	BIGSWORD	D		5795	12912	12913	12914	12915
Tomb Guard B	BIGSWORD	D		5796	12916	12917	12918	12919
Tomb Savant A	SWORD_P	C			5797	12920	12921	12922
Tomb Savant B	SWORD_P	C			5798	12923	12924	12925
Nephilim Lord	SWORD_P	C			5800	12926	12927	12928
Dusk	SWORD_P	C			5801	12929	12930	12931
Dawn	SWORD_P	C			5802	12932	12933	12934
Chrono Campana	POLE	NG	5817					
Falchion - for Beginners	SWORD_P	NG	6354					
Mage Staff - for Beginners	BIGBLUNT_M	NG	6355					
Forgotten Blade	SWORD_P	S						6364
Basalt Battlehammer	BLUNT_P	S						6365
Imperial Staff	BIGBLUNT_M	S						6366
Angel Slayer	DAGGER_P	S						6367
Shining Bow	BOW	S						6368
Dragon Hunter Axe	BIGBLUNT_P	S						6369
Saint Spear	POLE	S						6370
Demon Splinter	DUALFIST	S						6371
Heaven's Divider	BIGSWORD	S						6372
Arcana Mace	BLUNT_M	S						6579
Tallum Blade*Dark Legion's Edge	DUAL	S						6580
Infinity Blade	SWORD_P	S						6611
Infinity Cleaver	BIGSWORD	S						6612
Infinity Axe	BLUNT_P	S						6613
Infinity Rod	BLUNT_M	S						6614
Infinity Crusher	BIGBLUNT_P	S						6615
Infinity Scepter	BIGBLUNT_M	S						6616
Infinity Stinger	DAGGER_P	S						6617
Infinity Fang	DUALFIST	S						6618
Infinity Bow	BOW	S						6619
Infinity Wing	DUAL	S						6620
Infinity Spear	POLE	S						6621
Chrono Darbuka	BIGBLUNT_P	NG	7058					
Draconic Bow	BOW	S						7575
Apprentice Adventurer's Staff	BIGBLUNT_M	NG	7816					
Apprentice Adventurer's Bone Club	BLUNT_P	NG	7817					
Apprentice Adventurer's Knife	DAGGER_P	NG	7818					
Apprentice Adventurer's Cestus	DUALFIST	NG	7819					
Apprentice Adventurer's Bow	BOW	NG	7820					
Apprentice Adventurer's Long Sword	SWORD_P	NG	7821					
Traveler's Mace	BLUNT_M	D		7822	12935	12936	12937	12938
Traveler's Dark Elven Bow	BOW	D		7823	12939	12940	12941	12942
Traveler's Long Bow	BOW	D		7824	12943	12944	12945	12946
Traveler's Staff	BIGBLUNT_M	D		7825	12947	12948	12949	12950
Traveler's Bastard Sword	SWORD_P	D		7826	12951	12952	12953	12954
Traveler's Wand	ETC_M	D		7827	12955	12956	12957	12958
Traveler's Jamadhr	DUALFIST	D		7828	12959	12960	12961	12962
Traveler's Tomahawk	BLUNT_P	D		7829	12963	12964	12965	12966
Traveler's Poniard Dagger	DAGGER_P	D		7830	12967	12968	12969	12970
Traveler's Pike	POLE	D		7831	12971	12972	12973	12974
Art of Battle Axe	BLUNT_P	B				7834	12975	12976
Steel Sword	BIGSWORD	D		7880	12977	12978	12979	12980
Titan Sword	BIGSWORD	D		7881	12981	12982	12983	12984
Pa'agrian Sword	BIGSWORD	C			7882	12985	12986	12987
Guardian Sword	BIGSWORD	B				7883	12988	12989
Infernal Master	BIGSWORD	A					7884	12990
Priest Sword	SWORD_M	D		7885	12991	12992	12993	12994
Sword of Magic Fog	SWORD_M	D		7886	12995	12996	12997	12998
Ecliptic Sword	SWORD_M	C			7888	12999	13000	13001
Wizard's Tear	SWORD_M	B				7889	13002	13003
Priest Mace	BLUNT_M	D		7890	13004	13005	13006	13007
Ecliptic Axe	BLUNT_M	C			7891	13008	13009	13010
Spell Breaker	BLUNT_M	B				7892	13011	13012
Kaim Vanul's Bones	BLUNT_M	B				7893	13013	13014
Spiritual Eye	BLUNT_M	A					7894	13015
Flaming Dragon Skull	BLUNT_M	A					7895	13016
Titan Hammer	BIGBLUNT_P	D		7896	13017	13018	13019	13020
Dwarven Hammer	BIGBLUNT_P	C			7897	13021	13022	13023
Karik Horn	BIGBLUNT_P	C			7898	13024	13025	13026
Destroyer Hammer	BIGBLUNT_P	A					7899	13027
Ice Storm Hammer	BIGBLUNT_P	B				7900	13028	13029
Star Buster	BIGBLUNT_P	B				7901	13030	13031
Doom Crusher	BIGBLUNT_P	A					7902	13032
Frintezza's Sword	BIGSWORD	NG	7903					
Chrono Maracas	DUAL	NG	8350					
Sirra's Blade	SWORD_P	A					8678	13033
Sword of Ipos	BIGSWORD	A					8679	13034
Barakiel's Axe	BLUNT_P	A					8680	13035
Behemoth's Tuning Fork	BIGBLUNT_P	A					8681	13036
Naga Storm	DAGGER_P	A					8682	13037
Tiphon's Spear	POLE	A					8683	13038
Shyeed's Bow	BOW	A					8684	13039
Sobekk's Hurricane	DUALFIST	A					8685	13040
Themis' Tongue	SWORD_M	A					8686	13041
Cabrio's Hand	BLUNT_M	A					8687	13042
Daimon Crystal	BIGBLUNT_M	A					8688	13043
Damascus * Tallum Blade	DUAL	A					8938	13044
Sword of Valakas (1-Handed)	SWORD_P	C			9136	13045	13046	13047
Sword of Valakas (2-Handed)	BIGSWORD	D		9137	13048	13049	13050	13051
Salvation Bow	BOW	NG	9140					
