"drop","dropName","keep","keepName","type","grade","npcHands","questUse","mesh"
"165","Yablonski's Hammer","6365","Basalt Battlehammer","BLUNT","S","0","Q165_ShilensHunt Q426_QuestForFishingShot Q509_TheClansPrestige","LineageWeapons.basalt_battlehammer_m00_wp"
"7826","Traveler's Bastard Sword","69","Bastard Sword","SWORD","D","0","","LineageWeapons.bastard_sword_m00_wp"
"8586","Bastard Sword (Event)","69","Bastard Sword","SWORD","D","0","","LineageWeapons.bastard_sword_m00_wp"
"1181","Neti's Bow","14","Bow","BOW","NG","0","Q403_PathToARogue","LineageWeapons.bow_m00_wp"
"1213","Guard's Bow","14","Bow","BOW","NG","0","","LineageWeapons.bow_m00_wp"
"1307","Bow","14","Bow","BOW","NG","0","","LineageWeapons.bow_m00_wp"
"7820","Apprentice Adventurer's Bow","272","Forest Bow","BOW","NG","0","","LineageWeapons.bow_of_forest_m00_wp"
"8580","Forest Bow (Event)","272","Forest Bow","BOW","NG","0","","LineageWeapons.bow_of_forest_m00_wp"
"981","Red Sunset Sword","1333","Brandish","BIGSWORD","NG","0","Q105_SkirmishWithTheOrcs","LineageWeapons.brandish_m00_wp"
"3027","Old Knight's Sword","1333","Brandish","BIGSWORD","NG","0","Q212_TrialOfDuty","LineageWeapons.brandish_m00_wp"
"743","Sword of Sentinel","3","Broadsword","SWORD","NG","0","Q102_SeaOfSporesFever","LineageWeapons.broad_sword_m00_wp"
"975","Blood Saber","3","Broadsword","SWORD","NG","0","Q103_SpiritOfCraftsman","LineageWeapons.broad_sword_m00_wp"
"1142","Rusted Bronze Sword","3","Broadsword","SWORD","NG","0","Q401_PathToAWarrior","LineageWeapons.broad_sword_m00_wp"
"744","Staff of Sentinel","9","Cedar Staff","BIGBLUNT","NG","0","Q102_SeaOfSporesFever","LineageWeapons.cedar_staff_m00_wp"
"754","Red Sunset Staff","9","Cedar Staff","BIGBLUNT","NG","0","Q105_SkirmishWithTheOrcs","LineageWeapons.cedar_staff_m00_wp"
"748","Gallint's Oak Wand","4","Club","BLUNT","NG","0","Q104_SpiritOfMirrors","LineageWeapons.club_m00_wp"
"2370","Guild Member's Club","4","Club","BLUNT","NG","0","Q073_SagaOfTheDuelist Q077_SagaOfTheDominator Q081_SagaOfTheGhostHunter Q093_SagaOfTheSpectralMaster Q095_SagaOfTheHellKnight Q096_SagaOfTheSpectralDancer Q100_SagaOfTheMaestro","LineageWeapons.club_m00_wp"
"2501","Bone Club","4","Club","BLUNT","NG","0","","LineageWeapons.club_m00_wp"
"7817","Apprentice Adventurer's Bone Club","4","Club","BLUNT","NG","0","","LineageWeapons.club_m00_wp"
"8577","Bone Club (Event)","4","Club","BLUNT","NG","0","","LineageWeapons.club_m00_wp"
"7823","Traveler's Dark Elven Bow","277","Dark Elven Bow","BOW","D","0","","LineageWeapons.dark_elven_bow_m00_wp"
"8583","Dark Elven Bow (Event)","277","Dark Elven Bow","BOW","D","0","","LineageWeapons.dark_elven_bow_m00_wp"
"7830","Traveler's Poniard Dagger","222","Poniard Dagger","DAGGER","D","0","","LineageWeapons.dirk_m00_wp"
"8590","Poniard Daggar (Event)","222","Poniard Dagger","DAGGER","D","0","","LineageWeapons.dirk_m00_wp"
"7827","Traveler's Wand","315","Divine Tome","ETC","D","0","","LineageWeapons.divine_tome_m00_wp"
"8587","Divine Tomb (Event)","315","Divine Tome","ETC","D","0","","LineageWeapons.divine_tome_m00_wp"
"2372","Dagger of Adept","215","Doom Dagger","DAGGER","NG","0","","LineageWeapons.doomed_dagger_m00_wp"
"2374","Red Sunset Dagger","215","Doom Dagger","DAGGER","NG","0","","LineageWeapons.doomed_dagger_m00_wp"
"3471","Cybellin's Dagger","215","Doom Dagger","DAGGER","NG","0","Q335_SongOfTheHunter","LineageWeapons.doomed_dagger_m00_wp"
"6354","Falchion - for Beginners","68","Falchion","SWORD","NG","0","","LineageWeapons.falchion_m00_wp"
"82","God's Blade","6364","Forgotten Blade","SWORD","S","0","Q082_SagaOfTheSagittarius Q372_LegacyOfInsolence","LineageWeapons.forgotten_blade_m00_wp"
"1296","Gladius","66","Gladius","SWORD","NG","0","","LineageWeapons.gladius_m00_wp"
"3029","Sword of Binding","66","Gladius","SWORD","NG","0","Q229_TestOfWitchcraft","LineageWeapons.gladius_m00_wp"
"214","The Staff","6366","Imperial Staff","BIGBLUNT","S","0","Q214_TrialOfTheScholar","LineageWeapons.imperial_staff_m00_wp"
"2371","Fist of Butcher","254","Iron Gloves","DUALFIST","NG","0","","LineageWeapons.iron_glove_m00_wp"
"1511","Silversmith Hammer","87","Iron Hammer","BLUNT","NG","0","Q108_JumbleTumbleDiamondFuss","LineageWeapons.iron_hammer_m00_wp"
"989","Eldritch Dagger","12","Knife","DAGGER","NG","0","Q106_ForgottenTruth","LineageWeapons.knife_m00_wp"
"1182","Neti's Dagger","12","Knife","DAGGER","NG","0","Q403_PathToARogue","LineageWeapons.knife_m00_wp"
"1305","Knife","12","Knife","DAGGER","NG","0","","LineageWeapons.knife_m00_wp"
"1306","Crafted Dagger","12","Knife","DAGGER","NG","0","","LineageWeapons.knife_m00_wp"
"4665","Pipette Knife","12","Knife","DAGGER","NG","0","Q112_WalkOfFate Q234_FatesWhisper","LineageWeapons.knife_m00_wp"
"9141","Redemption Bow - Event Use","9140","Salvation Bow","BOW","NG","0","","LineageWeapons.krono_bow_m00_wp"
"738","Sword of Solidarity","2","Long Sword","SWORD","NG","0","Q101_SwordOfSolidarity","LineageWeapons.long_sword_m00_wp"
"1295","Long Sword","2","Long Sword","SWORD","NG","0","Q635_InTheDimensionalRift","LineageWeapons.long_sword_m00_wp"
"2915","Old Knight Sword","2","Long Sword","SWORD","NG","0","","LineageWeapons.long_sword_m00_wp"
"7821","Apprentice Adventurer's Long Sword","2","Long Sword","SWORD","NG","0","","LineageWeapons.long_sword_m00_wp"
"8581","Long Sword (Event)","2","Long Sword","SWORD","NG","0","","LineageWeapons.long_sword_m00_wp"
"7822","Traveler's Mace","179","Mace of Prayer","BLUNT","D","0","","LineageWeapons.mace_of_prayer_m00_wp"
"8582","Mace of Prayer (Event)","179","Mace of Prayer","BLUNT","D","0","","LineageWeapons.mace_of_prayer_m00_wp"
"1660","Cursed Maingauche","224","Maingauche","DAGGER","D","0","","LineageWeapons.maingauche_m00_wp"
"1510","Butcher's Sword","67","Orcish Sword","SWORD","NG","0","Q107_MercilessPunishment","LineageWeapons.orcish_sword_m00_wp"
"7831","Traveler's Pike","292","Pike","POLE","D","0","","LineageWeapons.pike_m00_wp"
"8591","Pike (Event)","292","Pike","POLE","D","0","","LineageWeapons.pike_m00_wp"
"307","Aurakyria Lance","6370","Saint Spear","POLE","S","0","","LineageWeapons.saint_spear_m00_wp"
"290","The Bow","6368","Shining Bow","BOW","S","0","Q426_QuestForFishingShot","LineageWeapons.shining_bow_m00_wp"
"7818","Apprentice Adventurer's Knife","217","Shining Knife","DAGGER","NG","0","","LineageWeapons.shining_knife_m00_wp"
"8578","Shining Knife (Event)","217","Shining Knife","DAGGER","NG","0","","LineageWeapons.shining_knife_m00_wp"
"3028","Crescent Moon Bow","13","Short Bow","BOW","NG","0","Q224_TestOfSagittarius","LineageWeapons.short_bow_m00_wp"
"3026","Talins Spear","15","Short Spear","POLE","NG","0","Q218_TestimonyOfLife","LineageWeapons.short_spear_m00_wp"
"7825","Traveler's Staff","185","Staff of Mana","BIGBLUNT","D","0","","LineageWeapons.staff_of_mana_m00_wp"
"8585","Staff of Mana (Event)","185","Staff of Mana","BIGBLUNT","D","0","","LineageWeapons.staff_of_mana_m00_wp"
"7824","Traveler's Long Bow","274","Strengthened Bow","BOW","D","2","","LineageWeapons.strengthening_bow_m00_wp"
"8584","Long Bow (Event)","274","Strengthened Bow","BOW","D","0","","LineageWeapons.strengthening_bow_m00_wp"
"120","Sword of Reflection","121","Sword of Watershadow","SWORD","NG","0","Q120_PavelsResearch Q224_TestOfSagittarius Q343_UnderTheShadowOfTheIvoryTower Q355_FamilyHonor Q426_QuestForFishingShot Q631_DeliciousTopChoiceMeat Q644_GraveRobberAnnihilation","LineageWeapons.sword_of_watershadow_m00_wp"
"7829","Traveler's Tomahawk","86","Tomahawk","BLUNT","D","0","","LineageWeapons.tomahawk_m00_wp"
"8589","Tomahawk (Event)","86","Tomahawk","BLUNT","D","0","","LineageWeapons.tomahawk_m00_wp"
"256","Cestus","257","Viper's Fang","DUALFIST","NG","0","htm:32041-25.htm","LineageWeapons.vipers_canine_m00_wp"
"7819","Apprentice Adventurer's Cestus","257","Viper's Fang","DUALFIST","NG","0","","LineageWeapons.vipers_canine_m00_wp"
"8579","Cestus (Event)","257","Viper's Fang","DUALFIST","NG","0","","LineageWeapons.vipers_canine_m00_wp"
