"id","name","grade","base"
"5614","Bloody Orchid - Focus","A","235"
"5615","Bloody Orchid - Back Blow","A","235"
"5616","Bloody Orchid - Critical Bleed","A","235"
"5617","Soul Separator - Guidance","A","236"
"5618","Soul Separator - Critical Damage","A","236"
"5619","Soul Separator - Rsk. Haste","A","236"
"5620","Blood Tornado - Haste","A","269"
"5621","Blood Tornado - Focus","A","269"
"5622","Blood Tornado - Anger","A","269"
"5623","Dragon Grinder - Rsk. Evasion","A","270"
"5624","Dragon Grinder - Guidance","A","270"
"5625","Dragon Grinder - Health","A","270"
"5626","Halberd - Haste","A","98"
"5627","Halberd - Critical Stun","A","98"
"5628","Halberd - Wide Blow","A","98"
"5632","Tallum Glaive - Guidance","A","305"
"5633","Tallum Glaive - Health","A","305"
"5634","Tallum Glaive - Wide Blow","A","305"
"5635","Tallum Blade - Critical Poison","A","80"
"5636","Tallum Blade - Haste","A","80"
"5637","Tallum Blade - Anger","A","80"
"5638","Elemental Sword - Magic Power","A","150"
"5639","Elemental Sword - Magic Paralyze","A","150"
"5640","Elemental Sword - Empower","A","150"
"5641","Sword of Miracles - Magic Power","A","151"
"5642","Sword of Miracles - Magic Silence","A","151"
"5643","Sword of Miracles - Acumen","A","151"
"5644","Dragon Slayer - Health","A","81"
"5645","Dragon Slayer - Critical Bleed","A","81"
"5646","Dragon Slayer - Critical Drain","A","81"
"5647","Dark Legion's Edge - Critical Damage","A","2500"
"5648","Dark Legion's Edge - Health","A","2500"
"5649","Dark Legion's Edge - Rsk. Focus","A","2500"
"6307","Sword of Limit - Guidance","C","132"
"6308","Sword of Limit - Critical Drain","C","132"
"6309","Sword of Limit - Health","C","132"
"6310","Sword of Whispering Death - Empower","C","145"
"6311","Sword of Whispering Death - Magic Power","C","145"
"6312","Sword of Whispering Death - Magic Silence","C","145"
"6313","Homunkulus's Sword - Acumen","C","84"
"6314","Homunkulus's Sword - Conversion","C","84"
"6315","Homunkulus's Sword - Magic Paralyze","C","84"
"6347","Berserker Blade - Focus","C","5286"
"6348","Berserker Blade - Critical Damage","C","5286"
"6349","Berserker Blade - Haste","C","5286"
"6356","Dark Elven Dagger - Rsk. Haste","C","232"
"6357","Stiletto - Rsk. Haste","C","227"
"6358","Crystal Dagger - Critical Damage","C","228"
"6359","Demon Dagger - Critical Damage","B","234"
"6581","Forgotten Blade - Haste","S","6364"
"6582","Forgotten Blade - Health","S","6364"
"6583","Forgotten Blade - Focus","S","6364"
"6584","Basalt Battlehammer - HP Drain","S","6365"
"6585","Basalt Battlehammer - Health","S","6365"
"6586","Basalt Battlehammer - HP Regeneration","S","6365"
"6587","Imperial Staff - Empower","S","6366"
"6588","Imperial Staff - MP Regeneration","S","6366"
"6589","Imperial Staff - Magic Hold","S","6366"
"6590","Angel Slayer - Crt. Damage","S","6367"
"6591","Angel Slayer - HP Drain","S","6367"
"6592","Angel Slayer - Haste","S","6367"
"6593","Shining Bow - Cheap Shot","S","6368"
"6594","Shining Bow - Focus","S","6368"
"6595","Shining Bow - Crt. Slow","S","6368"
"6596","Dragon Hunter Axe - HP Regeneration","S","6369"
"6597","Dragon Hunter Axe - Health","S","6369"
"6598","Dragon Hunter Axe - HP Drain","S","6369"
"6599","Saint Spear - Health","S","6370"
"6600","Saint Spear - Guidance","S","6370"
"6601","Saint Spear - Haste","S","6370"
"6602","Demon Splinter - Focus","S","6371"
"6603","Demon Splinter - Health","S","6371"
"6604","Demon Splinter - Crt. Stun","S","6371"
"6605","Heavens Divider - Haste","S","6372"
"6606","Heavens Divider - Health","S","6372"
"6607","Heavens Divider - Focus","S","6372"
"6608","Arcana Mace - Acumen","S","6579"
"6609","Arcana Mace - MP Regeneration","S","6579"
"6610","Arcana Mace - Mana Up","S","6579"
"7576","Draconic Bow - Cheap Shot","S","7575"
"7577","Draconic Bow - Focus","S","7575"
"7578","Draconic Bow - Critical Slow","S","7575"
"7701","Stick of Faith - Mana Up","C","193"
"7702","Stick of Faith - Magic Hold","C","193"
"7703","Stick of Faith - Magic Shield","C","193"
"7704","Stick of Eternity - Empower","C","196"
"7705","Stick of Eternity - Rsk., Evasion","C","196"
"7706","Stick of Eternity - Blessed Body","C","196"
"7707","Nirvana Axe - Magic Power","C","174"
"7708","Nirvana Axe - Magic Poison","C","174"
"7709","Nirvana Axe - Magic Weakness","C","174"
"7710","Club of Nature - Acumen","C","201"
"7711","Club of Nature - Magic Mental Shield","C","201"
"7712","Club of Nature - Magic Hold","C","201"
"7713","Mace of The Underworld - Mana Up","C","202"
"7714","Mace of The Underworld - Magic Silence","C","202"
"7715","Mace of The Underworld - Conversion","C","202"
"7716","Inferno Staff - Acumen","C","198"
"7717","Inferno Staff - Magic Silence","C","198"
"7718","Inferno Staff - Magic Paralyze","C","198"
"7719","Poleaxe - Critical Stun","C","95"
"7720","Poleaxe - Towering Blow","C","95"
"7721","Poleaxe - Wide Blow","C","95"
"7722","Sword of Valhalla - Acumen","B","148"
"7723","Sword of Valhalla - Magic Weakness","B","148"
"7724","Sword of Valhalla - Magic Regeneration","B","148"
"7810","Soulfire Dirk - Mana Up","C","242"
"7811","Soulfire Dirk - Magic Hold","C","242"
"7812","Soulfire Dirk - Magic Silence","C","242"
"7813","Hell Knife - Magic Regeneration","B","243"
"7814","Hell Knife - Mental Shield","B","243"
"7815","Hell Knife - Magic Weakness","B","243"
"8102","Pa'agrian Sword - Focus","C","7882"
"8103","Pa'agrian Sword - Health","C","7882"
"8104","Pa'agrian Sword - Critical Drain","C","7882"
"8105","Guardian Sword - Critical Drain","B","7883"
"8106","Guardian Sword - Health","B","7883"
"8107","Guardian Sword - Critical Bleed","B","7883"
"8108","Infernal Master - Haste","A","7884"
"8109","Infernal Master - Critical Damage","A","7884"
"8110","Infernal Master - Focus","A","7884"
"8111","Mysterious Sword - Acumen","C","7887"
"8112","Mysterious Sword - Magic Power","C","7887"
"8113","Mysterious Sword - Magic Weakness","C","7887"
"8114","Ecliptic Sword - Empower","C","7888"
"8115","Ecliptic Sword - Magic Power","C","7888"
"8116","Ecliptic Sword - Magic Silence","C","7888"
"8117","Wizard's Tear - Acumen","B","7889"
"8118","Wizard's Tear - Magic Power","B","7889"
"8119","Wizard's Tear - Conversion","B","7889"
"8120","Dwarven Hammer - Health","C","7897"
"8121","Dwarven Hammer - Anger","C","7897"
"8122","Dwarven Hammer - Critical Bleed","C","7897"
"8123","Karik Horn - Focus","C","7898"
"8124","Karik Horn - Haste","C","7898"
"8125","Karik Horn - Critical Drain","C","7898"
"8126","Destroyer Hammer - Health","A","7899"
"8127","Destroyer Hammer - Haste","A","7899"
"8128","Destroyer Hammer - Critical Drain","A","7899"
"8129","Ice Storm Hammer - Focus","B","7900"
"8130","Ice Storm Hammer - Anger","B","7900"
"8131","Ice Storm Hammer - Critical Bleed","B","7900"
"8132","Star Buster - Health","B","7901"
"8133","Star Buster - Haste","B","7901"
"8134","Star Buster - Rsk. Focus","B","7901"
"8135","Doom Crusher - Health","A","7902"
"8136","Doom Crusher - Anger","A","7902"
"8137","Doom Crusher - Rsk. Haste","A","7902"
"8138","Ecliptic Axe - Conversion","C","7891"
"8139","Ecliptic Axe - Magic Power","C","7891"
"8140","Ecliptic Axe - Magic Hold","C","7891"
"8141","Spell Breaker - Acumen","B","7892"
"8142","Spell Breaker - Magic Mental Shield","B","7892"
"8143","Spell Breaker - Magic Hold","B","7892"
"8144","Kaim Vanul's Bones - Mana Up","B","7893"
"8145","Kaim Vanul's Bones - Magic Silence","B","7893"
"8146","Kaim Vanul's Bones - Conversion","B","7893"
"8147","Spiritual Eye - Mana Up","A","7894"
"8148","Spiritual Eye - Magic Poison","A","7894"
"8149","Spiritual Eye - Acumen","A","7894"
"8150","Flaming Dragon Skull - Acumen","A","7895"
"8151","Flaming Dragon Skull - Magic Power","A","7895"
"8152","Flaming Dragon Skull - Magic Silence","A","7895"
"8788","Sirra's Blade - Haste","A","8678"
"8789","Sirra's Blade - Health","A","8678"
"8790","Sirra's Blade - Critical Poison","A","8678"
"8791","Sword of Ipos - Focus","A","8679"
"8792","Sword of Ipos - Haste","A","8679"
"8793","Sword of Ipos - Health","A","8679"
"8794","Barakiel's Axe - Health","A","8680"
"8795","Barakiel's Axe - Haste","A","8680"
"8796","Barakiel's Axe - Focus","A","8680"
"8797","Behemoth's Tuning Fork - Focus","A","8681"
"8798","Behemoth's Tuning Fork - Health","A","8681"
"8799","Behemoth's Tuning Fork - Anger","A","8681"
"8800","Naga Storm - Focus","A","8682"
"8801","Naga Storm - Critical Damage","A","8682"
"8802","Naga Storm - Back Blow","A","8682"
"8803","Tiphon's Spear - Critical Stun","A","8683"
"8804","Tiphon's Spear - Towering Blow","A","8683"
"8805","Tiphon's Spear - Wild Blow","A","8683"
"8806","Shyeed's Bow - Cheap Shot","A","8684"
"8807","Shyeed's Bow - Focus","A","8684"
"8808","Shyeed's Bow - Quick Recovery","A","8684"
"8809","Sobekk's Hurricane - Rsk. Haste","A","8685"
"8810","Sobekk's Hurricane - Haste","A","8685"
"8811","Sobekk's Hurricane - Critical Drain","A","8685"
"8812","Themis' Tongue - Mana Up","A","8686"
"8813","Themis' Tongue - Magic Mental Shield","A","8686"
"8814","Themis' Tongue - Magic Focus","A","8686"
"8815","Cabrio's Hand - Conversion","A","8687"
"8816","Cabrio's Hand - Mana Up","A","8687"
"8817","Cabrio's Hand - Magic Silence","A","8687"
"8818","Daimon Crystal - Mana Up","A","8688"
"8819","Daimon Crystal - Acumen","A","8688"
"8820","Daimon Crystal - Magic Mental Shield","A","8688"
